sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_17:31:34_752 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,693464823,114.789925,61.223629,142.772400,0.104770,-0.014280,-0.283289,-6.634407,-0.810629,1.266017
2,693481490,114.664749,61.207623,142.734756,0.113816,-0.072568,-0.254418,-4.160540,-1.660625,1.366905
3,693498157,114.541267,61.189262,142.640488,0.065995,-0.010820,-0.237833,-1.081074,-3.093502,2.175421
4,693514824,114.402252,61.176502,142.531433,0.066074,0.049421,-0.240549,-1.235633,-3.627590,2.042952
5,693531491,114.238518,61.177307,142.401749,0.090698,-0.111812,-0.265719,-1.632400,-4.513022,1.539996
6,693548158,114.080803,61.183369,142.254669,0.145384,-0.153755,-0.280749,-0.359743,-5.103587,1.447547
7,693564825,113.932274,61.198421,142.077209,0.151816,-0.223770,-0.338248,1.791064,-6.128902,1.300773
8,693581492,113.802246,61.219730,141.870041,0.198250,-0.247137,-0.347385,4.462213,-7.064381,1.291719
9,693598159,113.682487,61.242722,141.625183,0.144822,-0.143235,-0.280093,7.067410,-8.099941,1.624902
10,693614826,113.577385,61.276756,141.361893,0.088295,-0.112874,-0.241724,8.918448,-8.849564,1.214119
11,693631493,113.498802,61.325775,141.079300,0.136071,-0.207746,-0.299853,11.532133,-9.711243,0.595374
12,693648160,113.443481,61.388996,140.765060,0.070712,-0.265411,-0.332945,14.601181,-10.871923,0.160982
13,693664827,113.413506,61.445782,140.444458,-0.021598,-0.266882,-0.265785,16.472321,-10.869812,0.576331
14,693681494,113.398994,61.499050,140.126984,-0.025632,-0.172792,-0.262053,17.242218,-10.688937,0.725039
15,693698161,113.389801,61.550209,139.808578,-0.011407,-0.063841,-0.233398,17.616320,-10.650353,0.840680
16,693714828,113.375824,61.602917,139.474823,0.033045,-0.175529,-0.269570,18.148415,-11.074669,0.922897
17,693731495,113.371452,61.645229,139.139282,-0.084645,-0.228765,-0.264191,18.826752,-10.858611,1.508238
18,693748162,113.366692,61.677326,138.830124,-0.146232,-0.237150,-0.264401,17.416155,-9.916854,1.767042
19,693764829,113.362907,61.700378,138.582291,-0.197901,-0.179768,-0.244547,14.241332,-8.092378,1.570066
20,693781496,113.333221,61.728634,138.388702,-0.135484,-0.135725,-0.235950,9.822173,-6.794539,0.666756
21,693798163,113.281006,61.761570,138.221725,-0.135546,-0.195281,-0.256097,7.067910,-6.208392,0.103328
22,693814830,113.226906,61.794060,138.054169,-0.109708,-0.192787,-0.239988,6.988510,-6.208263,0.127583
23,693831497,113.174774,61.826485,137.874512,-0.124093,-0.169343,-0.281929,7.748568,-6.517602,0.260052
24,693848164,113.126518,61.854084,137.693771,-0.211048,-0.212845,-0.280239,8.042102,-6.427958,0.532059
25,693864831,113.092255,61.872364,137.516632,-0.252456,-0.232722,-0.276081,8.693831,-6.111692,1.001182
26,693881498,113.069550,61.878132,137.335434,-0.287321,-0.219843,-0.265814,9.600150,-5.924194,1.730196
27,693898165,113.058418,61.878426,137.149811,-0.279626,-0.247207,-0.269152,10.529456,-5.908802,2.081820
28,693914832,113.071205,61.870926,136.975815,-0.238757,-0.289819,-0.286861,11.348668,-5.425618,2.382706
29,693931499,113.119217,61.857288,136.800674,-0.155603,-0.292358,-0.277305,13.520691,-5.311924,2.736649
30,693948166,113.188606,61.837467,136.600800,-0.144380,-0.248120,-0.266768,16.111052,-5.810785,3.358411
31,693964833,113.280891,61.813820,136.387589,-0.165793,-0.224810,-0.253851,18.187084,-6.066478,3.726979
32,693981500,113.395111,61.790829,136.186020,-0.218160,-0.217056,-0.246351,18.885582,-5.774135,3.573021
33,693998167,113.517456,61.761639,136.019226,-0.205359,-0.229030,-0.242973,17.531216,-4.721092,3.530132
34,694014834,113.651459,61.730663,135.884232,-0.078766,-0.222345,-0.250907,16.548912,-3.846339,3.279370
35,694031501,113.789314,61.699074,135.755356,-0.021291,-0.202159,-0.278783,16.455902,-3.670726,3.248942
36,694048168,113.930588,61.669090,135.620132,0.005834,-0.216383,-0.295294,16.993193,-3.867586,3.244563
37,694064835,114.067032,61.641243,135.468964,0.028341,-0.154276,-0.261283,17.538795,-4.330101,3.318302
38,694081502,114.187790,61.606369,135.357880,-0.093455,-0.209118,-0.194883,14.483281,-3.111420,3.245292
39,694098169,114.280991,61.565277,135.312790,0.052339,-0.221856,-0.192262,9.342510,-1.235147,2.819094
40,694114836,114.357162,61.531223,135.322174,0.178484,-0.221361,-0.266032,5.448609,0.010584,1.792895
41,694131503,114.406052,61.504360,135.332092,0.162175,-0.200566,-0.289294,3.781248,-0.149553,1.393043
42,694148170,114.437637,61.478096,135.314102,0.144403,-0.187386,-0.371370,4.216075,-0.890016,1.690522
43,694164837,114.457932,61.453239,135.275085,0.113155,-0.169858,-0.353966,4.646203,-1.472718,1.862985
