sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_17:20:47_949 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,46668554,-135.854568,57.670601,110.461052,0.193420,1.094436,-0.077405,-23.199350,8.806985,-32.163334
2,46685221,-135.819305,57.155483,111.056870,-0.525969,1.127159,-0.073676,-26.667870,7.415962,-35.813538
3,46701888,-135.772537,56.713047,111.730606,-0.871804,1.067294,-0.126089,-29.733528,2.311902,-34.787998
4,46718555,-135.883926,56.313786,112.425835,-0.610904,1.088324,-0.221026,-40.125141,-0.193134,-33.662365
5,46735222,-136.111618,55.858772,113.229218,-1.006894,1.349086,0.180609,-52.315392,-0.380815,-38.774570
6,46751889,-136.408920,55.332375,114.019051,-0.784901,1.219621,0.271392,-55.578327,2.971975,-41.641090
7,46768556,-136.809189,54.784332,114.901436,-0.496562,0.377405,-0.212099,-66.051498,1.732629,-45.084530
8,46785223,-137.557617,54.232704,115.997231,-0.375936,-0.470884,-0.563677,-97.066696,-2.989321,-50.963608
9,46801890,-138.815674,53.572254,117.452866,-1.805111,0.094208,0.206898,-144.675278,-6.081777,-65.258476
10,46818557,-140.429626,52.824139,118.941650,-1.930033,0.507756,0.145914,-166.977753,-1.765380,-70.341713
11,46835224,-142.354172,52.032574,120.417427,-0.569533,-0.424298,-0.500033,-184.262009,2.142984,-72.335701
12,46851891,-144.200562,51.187275,121.922905,-0.446781,-0.684246,-1.151927,-180.182236,5.849955,-75.817505
13,46868558,-145.926361,50.323681,123.281708,0.197809,-0.585763,-1.219369,-165.279877,11.701365,-72.501595
14,46885225,-147.269119,49.389641,124.698120,-0.050034,-0.133988,-0.702225,-144.116180,15.402157,-77.156258
15,46901892,-148.092316,48.268974,126.139893,-0.984478,0.646490,0.369272,-113.087654,25.171921,-84.649094
16,46918559,-148.379517,47.136799,127.373756,-1.546698,1.024368,1.300087,-70.562225,30.333109,-78.692947
17,46935226,-148.216370,46.088089,128.424911,-1.140981,0.600134,1.424096,-34.611671,29.576260,-70.490494
18,46951893,-147.932556,45.149773,129.331955,-0.364542,0.342331,1.041654,-20.426493,26.468935,-62.634979
19,46968560,-147.752106,44.349358,130.176743,-0.209603,-0.172653,0.995691,-23.410082,20.318041,-56.589478
20,46985227,-147.646255,43.711018,130.933838,-0.135041,-0.420222,0.885555,-23.768986,13.752346,-48.624218
21,47001894,-147.652054,43.236984,131.506165,0.646833,-0.394102,0.526031,-22.520685,9.533453,-36.823811
22,47018561,-147.654114,42.911057,132.026321,0.156091,-0.819983,0.602846,-19.979443,3.174203,-30.279673
23,47035228,-147.482437,42.723782,132.443161,0.162568,-0.738515,0.209121,-5.240778,-1.494478,-22.067392
24,47051895,-147.079895,42.600185,132.814468,0.145025,-0.648109,-0.009281,10.510758,-3.746235,-18.348471
25,47068562,-146.461426,42.518795,133.133591,0.022104,-0.864256,-0.203325,25.610100,-4.767038,-15.027992
26,47085229,-145.563507,42.488106,133.417816,0.016332,-1.150154,-0.486793,43.803062,-6.617141,-12.005030
27,47101896,-144.409531,42.545071,133.628662,0.505961,-1.321461,-1.127090,62.133919,-9.258429,-6.220541
28,47118563,-143.103073,42.710152,133.754181,1.049692,-1.521662,-1.539856,74.728333,-12.365421,0.846254
29,47135230,-141.507767,42.905788,133.828369,0.582760,-1.637604,-1.462454,94.129982,-12.377705,4.052807
30,47151897,-139.767578,43.183044,133.738159,0.866149,-1.727289,-1.408080,109.536919,-11.438692,13.075677
31,47168564,-137.773102,43.524506,133.562622,0.596240,-1.499774,-1.261418,128.323013,-11.440968,18.731705
32,47185231,-135.857819,43.902817,133.203003,0.857330,-1.313660,-0.757122,131.246887,-6.953353,26.383667
33,47201898,-133.980392,44.398800,132.653763,1.173267,-1.311632,-0.750746,137.013031,-5.343407,37.251385
34,47218565,-132.360825,45.059177,132.012268,2.305299,-1.553454,-1.055722,125.668022,-8.237376,47.091110
35,47235232,-131.174988,45.852119,131.432983,2.402882,-1.707251,-1.161248,97.328568,-14.576780,51.201977
36,47251899,-130.433899,46.785110,130.897736,2.307147,-1.897098,-1.216130,69.094391,-20.859367,56.331795
37,47268566,-129.967575,47.858990,130.469254,2.096506,-1.961520,-1.252575,48.278187,-29.340933,59.910656
38,47285233,-129.709061,49.033031,130.151459,2.195354,-1.963190,-1.302090,31.174227,-36.472462,61.627445
39,47301900,-129.612656,50.291706,130.000183,1.961604,-1.826448,-1.074589,14.090361,-44.728226,61.305592
