sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_18:00:25_850 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,891092995,-70.875839,5.672700,-174.389999,-0.319943,0.003228,-0.000824,3.185983,0.963787,0.395710
2,891109662,-70.939224,5.659865,-174.423645,-0.196904,0.046310,0.058840,-2.206457,0.675260,-1.447758
3,891126329,-71.059586,5.616251,-174.424255,-0.086436,-0.004898,0.076355,-5.818207,-1.789534,-2.548400
4,891142996,-71.216095,5.566203,-174.387756,-0.065621,-0.102230,0.072056,-8.202379,-4.005686,-2.198492
5,891159663,-71.388496,5.520041,-174.318771,-0.045397,-0.153533,0.050220,-9.344015,-5.763384,-1.363454
6,891176330,-71.562477,5.478184,-174.233368,0.026195,-0.120908,0.151624,-9.530042,-6.606031,-0.821989
7,891192997,-71.676659,5.436571,-174.131470,-0.003494,-0.148376,0.155676,-6.032420,-7.533018,-0.513765
8,891209664,-71.728424,5.407980,-174.014755,0.041083,-0.360244,0.080171,-2.368151,-8.128013,0.496880
9,891226331,-71.709969,5.389745,-173.862350,0.085961,-0.520350,0.001987,1.643343,-9.959144,1.753440
10,891242998,-71.631081,5.377462,-173.663879,0.205885,-0.670399,0.096829,5.010417,-12.458678,2.965114
11,891259665,-71.508705,5.348470,-173.410919,0.277329,-0.541902,0.271119,7.313951,-15.857081,3.061982
12,891276332,-71.361679,5.277223,-173.172348,0.061117,-0.002761,0.231283,8.883384,-15.841470,0.418659
13,891292999,-71.165947,5.152538,-172.982483,0.045792,0.289828,0.359144,12.094223,-14.119081,-3.508137
14,891309666,-70.859795,4.986561,-172.792969,-0.146091,0.124256,0.165228,18.754915,-14.923743,-5.799495
15,891326333,-70.537216,4.806487,-172.598602,-0.328478,0.014243,-0.048693,19.749071,-15.511676,-6.423386
16,891343000,-70.260033,4.625634,-172.390213,-0.404955,-0.067105,-0.058442,16.996939,-16.351582,-6.107016
17,891359667,-69.992203,4.420434,-172.158951,-0.395185,0.261516,0.152948,16.369326,-18.163237,-6.940199
18,891376334,-69.726120,4.197351,-171.960999,-0.549017,0.429175,0.046564,16.470686,-16.697071,-8.549846
19,891393001,-69.602852,4.011810,-171.900665,-0.585150,0.532674,-0.160198,8.537646,-8.226370,-9.241529
20,891409668,-69.508591,3.873160,-171.864883,-0.346378,0.247375,-0.116117,6.915976,-5.881204,-7.102276
21,891426335,-69.378166,3.766065,-171.819138,-0.226056,0.236086,0.023195,9.051577,-5.788051,-5.110812
22,891443002,-69.191261,3.645894,-171.731598,0.045628,-0.219508,0.195859,12.287107,-8.418928,-4.944741
23,891459669,-68.966629,3.500424,-171.549805,0.062452,-0.707187,0.123078,14.209810,-14.253231,-4.320151
24,891476336,-68.782806,3.331844,-171.287430,-0.006165,-0.910868,0.010654,11.496032,-19.270506,-3.825622
25,891493003,-68.659920,3.166644,-170.989838,-0.156888,-0.692505,-0.111661,7.761488,-21.178257,-2.820168
26,891509670,-68.540199,3.002266,-170.715790,-0.229410,-0.160644,0.056910,7.695841,-19.851553,-3.243405
27,891526337,-68.330597,2.829247,-170.477432,-0.150933,0.019809,0.195149,13.246265,-18.064924,-4.455785
28,891543004,-68.029755,2.653373,-170.254486,-0.149145,-0.028948,-0.025844,18.809042,-17.292160,-4.880908
29,891559671,-67.741356,2.496004,-170.050217,-0.087642,-0.302658,-0.168034,18.152674,-15.865309,-4.187532
30,891576338,-67.543381,2.360740,-169.849258,-0.071582,-0.428392,-0.203745,12.766558,-15.192936,-2.973446
31,891593005,-67.441742,2.258253,-169.658875,-0.190981,-0.010244,-0.247266,7.033669,-13.862449,-1.360151
32,891609672,-67.413643,2.184360,-169.532211,-0.135132,0.271825,-0.219321,2.788091,-9.678978,-1.227169
33,891626339,-67.395187,2.132930,-169.433594,-0.042389,0.187877,-0.228953,2.285710,-7.611032,-0.625116
34,891643006,-67.399193,2.116047,-169.349014,-0.097105,0.014302,-0.305151,0.973276,-6.036632,0.965528
35,891659673,-67.469620,2.134972,-169.286835,0.024390,-0.333969,-0.264086,-2.960687,-3.972248,2.430165
36,891676340,-67.627373,2.182709,-169.219437,0.101444,-0.511074,-0.349420,-8.215123,-3.605885,4.140441
37,891693007,-67.864365,2.258146,-169.140518,0.275423,-0.422539,-0.140528,-13.004947,-3.630231,5.931003
38,891709674,-68.093750,2.326119,-169.021866,0.340471,-0.302254,0.016420,-12.650303,-6.032078,6.396681
39,891726341,-68.251846,2.391346,-168.853317,0.217281,-0.272542,-0.026890,-8.508674,-8.892121,7.337204
40,891743008,-68.329247,2.469643,-168.682556,-0.050938,0.063541,-0.058359,-3.686566,-8.744155,8.097300
41,891759675,-68.328552,2.564568,-168.534378,-0.004133,-0.051770,0.110188,1.045927,-7.121921,8.518856
42,891776342,-68.230774,2.665162,-168.369965,-0.057992,-0.217709,0.042642,6.810223,-7.888422,9.198891
43,891793009,-68.149635,2.773697,-168.216217,-0.162592,-0.316576,0.055750,5.824030,-7.104186,9.414394
44,891809676,-68.096344,2.893748,-168.055252,-0.175504,-0.567906,0.023161,4.112370,-7.235938,10.224730
45,891826343,-68.069054,3.026745,-167.886124,-0.432555,-0.081332,-0.122122,2.503304,-7.388885,11.131755
46,891843010,-68.092522,3.173553,-167.786972,-0.300342,0.140709,0.043453,-0.338760,-3.186970,10.337763
47,891859677,-68.091064,3.319630,-167.704849,-0.192206,0.038755,0.027381,1.201998,-2.257274,9.917375
48,891876344,-68.084091,3.457255,-167.626770,-0.120730,0.004711,0.084561,1.535770,-2.221160,9.356790
49,891893011,-68.118080,3.591309,-167.573120,-0.098732,-0.131164,0.042114,-0.841326,-0.949130,8.613035
50,891909678,-68.201408,3.725835,-167.523773,-0.047216,-0.168934,0.135482,-3.793152,-0.703197,8.542881
51,891926345,-68.276344,3.839909,-167.472382,-0.057842,-0.077478,0.212188,-3.305063,-1.285732,7.448668
52,891943012,-68.330597,3.924311,-167.427124,-0.122283,0.027661,0.152813,-2.043945,-1.612934,5.659389
53,891959679,-68.374115,3.998319,-167.391022,-0.131256,0.051378,0.095946,-1.364939,-1.335856,4.875590
54,891976346,-68.378311,4.057777,-167.354004,-0.197771,0.195370,0.071284,0.989553,-1.709571,4.083657
