sep=,
DeviceTag:,DOT5
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-01_12:26:26_065 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,1607302367,43.465561,-65.639107,141.788773,0.207582,-0.026995,0.172869,1.592796,-2.858749,-0.761696
2,1607319034,43.513618,-65.637878,141.751450,0.176235,-0.028309,0.170213,1.042456,-3.110086,-0.478023
3,1607335701,43.543369,-65.639008,141.729248,0.143089,0.010920,0.208447,0.525067,-3.032928,-0.189713
4,1607352368,43.549294,-65.635216,141.733673,0.165530,0.030113,0.216089,0.643577,-2.334931,0.115801
5,1607369035,43.546253,-65.631981,141.747238,0.156411,0.060319,0.200134,0.809611,-2.140415,0.370315
6,1607385702,43.546452,-65.630463,141.762634,0.167841,0.048654,0.234304,1.029714,-2.206022,0.448895
7,1607402369,43.546341,-65.625336,141.781784,0.183900,0.026424,0.218957,1.318138,-1.954019,0.400576
8,1607419036,43.556641,-65.617844,141.788315,0.194829,0.018992,0.181025,1.224831,-2.075167,0.066868
9,1607435703,43.573151,-65.610016,141.782318,0.198072,-0.002106,0.175265,1.013501,-2.244582,-0.136183
10,1607452370,43.593796,-65.601639,141.773880,0.169672,0.031278,0.186921,0.936356,-2.321445,-0.267678
11,1607469037,43.611263,-65.587402,141.767838,0.124449,0.027525,0.238880,0.841883,-2.036952,-0.480097
12,1607485704,43.634953,-65.571503,141.756790,0.136045,0.005510,0.221002,1.029432,-2.022007,-0.609877
13,1607502371,43.653023,-65.557823,141.746262,0.123224,0.003440,0.185604,0.780733,-2.093121,-0.488229
14,1607519038,43.658215,-65.545296,141.738586,0.146983,0.020739,0.167094,0.431158,-2.009508,-0.301487
15,1607535705,43.664295,-65.532249,141.735123,0.152475,0.027218,0.125300,0.389435,-2.017141,-0.354198
16,1607552372,43.667805,-65.521378,141.733856,0.164387,-0.000433,0.138331,0.120898,-2.146805,-0.303536
17,1607569039,43.663944,-65.514320,141.734436,0.136287,0.020082,0.204966,-0.240273,-2.287944,-0.118011
