sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_17:45:48_439 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,13721972,-173.261307,74.597466,-142.784225,-0.001297,-0.102625,-0.169342,0.000000,0.000000,0.000000
2,13738639,-172.919693,74.462448,-142.619034,0.085890,-0.133531,-0.184840,6.947055,4.639914,0.401780
3,13755306,-172.110336,74.369186,-141.953247,0.098754,-0.147369,-0.161270,7.718256,3.768097,0.241150
4,13771973,-171.143127,74.304115,-141.141891,0.066952,-0.101302,-0.182672,7.947001,2.321004,-0.401761
5,13788640,-170.354752,74.265884,-140.461548,0.040735,-0.054419,-0.273175,8.631833,1.027729,-0.648629
6,13805307,-169.790009,74.244453,-139.972260,-0.036395,-0.031303,-0.269121,8.472292,0.500223,-0.583073
7,13821974,-169.421967,74.214417,-139.726089,-0.111827,0.005167,-0.245555,9.831149,0.587434,-0.047601
8,13838641,-169.219025,74.188400,-139.647751,-0.027866,-0.018054,-0.153689,11.052505,-0.048395,0.689987
9,13855308,-168.996445,74.179947,-139.549210,-0.045923,-0.004340,-0.004684,11.288424,-0.862137,0.134076
10,13871975,-168.761948,74.181702,-139.463715,-0.056785,0.008241,-0.153447,12.700646,-1.306543,0.004168
11,13888642,-168.550919,74.201408,-139.402649,-0.076093,-0.010900,-0.264002,12.815661,-2.191731,0.294335
12,13905309,-168.346298,74.226334,-139.383804,-0.129306,-0.039277,-0.230350,13.768788,-2.469540,0.579673
13,13921976,-168.176804,74.219460,-139.432938,-0.175670,0.024645,-0.283067,15.884095,-0.615397,1.277249
14,13938643,-168.064011,74.167038,-139.572174,-0.132016,0.080188,-0.302418,17.538231,2.197284,1.781986
15,13955310,-167.904739,74.118790,-139.673203,-0.118708,0.018524,-0.158984,17.906775,1.946228,0.879419
16,13971977,-167.630356,74.108284,-139.653915,-0.129647,0.078680,-0.184778,17.857700,-0.628255,-0.585072
17,13988644,-167.379837,74.132599,-139.653198,-0.063757,0.120700,-0.305964,17.765547,-2.476238,0.109488
