sep=,
DeviceTag:,DOT1
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-03-17_10:20:05_093 GMT+1
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,1055950788,16.822050,58.064983,29.117142,0.390474,0.126487,-0.575867,3.770209,-5.332654,-1.642428
2,1055967455,16.752398,57.952709,28.967096,0.427232,0.184468,-0.696558,2.492071,-7.916016,-2.599049
3,1055984122,16.617874,57.799091,28.766333,0.458069,0.227509,-0.726492,1.167472,-10.756122,-3.469037
4,1056000789,16.435564,57.612209,28.517370,0.403735,0.219636,-0.754297,0.722618,-13.107155,-4.437672
5,1056017456,16.204552,57.405861,28.217756,0.278755,0.168424,-0.720983,0.334982,-14.681866,-5.764259
6,1056034123,15.890534,57.185661,27.862930,0.260591,0.228141,-0.677382,-1.892345,-15.962632,-7.379091
7,1056050790,15.508237,56.961769,27.466156,0.338704,0.345506,-0.588627,-3.917147,-16.519701,-8.801496
8,1056067457,15.114234,56.741467,27.051638,0.361077,0.398853,-0.511348,-3.785293,-16.424574,-9.602533
9,1056084124,14.745873,56.527607,26.641048,0.289696,0.433159,-0.506911,-2.496409,-15.972856,-9.760359
10,1056100791,14.380289,56.295921,26.234772,0.302096,0.391492,-0.506773,-2.597771,-16.928812,-9.532828
11,1056117458,13.991035,56.034443,25.817820,0.266303,0.278360,-0.492325,-3.545572,-18.707724,-9.635000
12,1056134125,13.586442,55.764481,25.404882,0.227799,0.235088,-0.553525,-4.733990,-19.120796,-9.604419
13,1056150792,13.183475,55.494125,25.003986,0.222764,0.321671,-0.626990,-5.294577,-19.006025,-9.429780
14,1056167459,12.789845,55.209553,24.615936,0.339170,0.416519,-0.600113,-5.427545,-19.694649,-9.042463
15,1056184126,12.387728,54.871296,24.243303,0.506462,0.472515,-0.490983,-6.758605,-22.682770,-8.063945
16,1056200793,11.975450,54.484474,23.873095,0.655313,0.458892,-0.371974,-7.586375,-25.474346,-7.630646
17,1056217460,11.535422,54.049171,23.501040,0.809888,0.316021,-0.297668,-9.249275,-28.306005,-7.418858
18,1056234127,11.066120,53.596558,23.133793,0.996172,0.064024,-0.309904,-11.338656,-29.255329,-7.411498
19,1056250794,10.579710,53.166553,22.776896,1.117837,-0.108687,-0.490354,-12.964783,-27.815142,-7.678085
20,1056267461,10.091292,52.755947,22.427155,1.264802,-0.084437,-0.857771,-13.522308,-26.577492,-7.991254
21,1056284128,9.590068,52.293617,22.091370,1.571577,0.020307,-1.196575,-15.050085,-29.497524,-7.313736
22,1056300795,9.035980,51.714031,21.747265,1.948036,0.005991,-1.364634,-17.941509,-36.442619,-6.888999
23,1056317462,8.412875,51.013126,21.375563,2.279092,-0.214064,-1.379180,-20.931276,-43.745304,-7.358631
24,1056334129,7.679164,50.209976,20.939144,2.427160,-0.374843,-1.403923,-24.750063,-50.102581,-9.679263
25,1056350796,6.833753,49.313740,20.436781,2.311507,-0.470062,-1.684700,-28.678663,-55.860817,-12.492059
26,1056367463,5.921708,48.311676,19.904909,2.135397,-0.290184,-2.034475,-31.666847,-62.140053,-14.176575
27,1056384130,4.992860,47.198174,19.391750,2.003716,0.108623,-2.224927,-33.899654,-68.528152,-14.217042
28,1056400797,4.034797,45.977875,18.880793,1.712584,0.446816,-2.163567,-36.173630,-74.695389,-15.207585
