sep=,
DeviceTag:,DOT5
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-01_12:33:07_273 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2008477057,-128.507767,-26.226908,-142.841232,-0.187388,-0.073849,0.618589,17.952791,0.036786,-25.568323
2,2008493724,-128.508041,-26.563292,-142.682022,-0.559782,0.199815,0.427504,4.384728,3.366609,-20.858429
3,2008510391,-128.660950,-26.808004,-142.630249,-0.294528,0.218101,0.609998,-7.623703,4.489213,-12.940827
4,2008527058,-128.912369,-26.966373,-142.598389,0.157714,0.092447,0.587648,-14.061384,2.120368,-8.211412
5,2008543725,-129.074295,-27.038818,-142.557877,0.518894,0.096909,0.881096,-8.456855,-1.447963,-4.474566
6,2008560392,-128.836624,-27.050127,-142.566452,0.635721,0.141733,1.337474,14.180821,-1.716859,0.024492
7,2008577059,-128.137131,-27.043415,-142.632034,0.531248,0.187733,1.152686,40.339638,-0.011385,2.754104
8,2008593726,-127.233299,-27.027388,-142.687927,0.207107,0.156369,0.376842,52.860821,-0.723425,2.845273
9,2008610393,-126.456238,-26.964569,-142.708694,-0.157093,0.383930,-0.166756,46.210491,-3.869391,3.941735
10,2008627060,-125.935562,-26.863226,-142.697113,-0.252954,0.325688,-0.153193,31.712477,-6.591812,4.797296
11,2008643727,-125.592018,-26.734554,-142.672989,-0.137705,0.181168,-0.083881,21.424713,-8.059334,5.764374
12,2008660394,-125.250824,-26.586443,-142.666840,0.035880,0.082213,0.026619,20.796238,-7.915363,7.312163
13,2008677061,-124.866829,-26.443569,-142.676758,0.016048,-0.115980,-0.144074,22.932158,-6.983727,7.582099
14,2008693728,-124.541222,-26.302429,-142.673080,-0.237358,0.061788,-0.374196,19.789469,-7.478127,7.110379
15,2008710395,-124.315933,-26.166195,-142.658386,-0.306939,0.060043,-0.336326,14.068386,-7.770762,6.553868
16,2008727062,-124.147949,-26.046329,-142.650162,-0.229006,-0.125107,-0.334069,10.455169,-6.907621,5.957985
17,2008743729,-123.979698,-25.930811,-142.633423,-0.088677,-0.215043,-0.353655,10.694193,-7.127968,5.497078
18,2008760396,-123.735855,-25.816940,-142.606323,-0.100140,0.005468,-0.232073,15.499742,-7.519653,5.118915
19,2008777063,-123.338234,-25.720936,-142.604111,-0.120639,0.115680,-0.136287,24.073717,-5.780031,4.997324
20,2008793730,-122.793098,-25.664799,-142.621140,-0.147112,0.000242,-0.307175,32.422016,-3.562497,3.588295
21,2008810397,-122.301369,-25.647257,-142.611954,-0.322308,-0.080859,-0.826283,29.901144,-3.482262,0.882904
22,2008827064,-122.044624,-25.623806,-142.545959,-0.434226,-0.057978,-0.918736,17.277969,-6.268561,-0.446340
23,2008843731,-122.034157,-25.593079,-142.441025,-0.427094,-0.027443,-0.727366,3.509639,-8.288938,-1.184114
24,2008860398,-122.155556,-25.558342,-142.344772,-0.363136,0.078501,-0.539817,-4.630419,-8.019530,-0.736493
25,2008877065,-122.259666,-25.510017,-142.290894,-0.286240,0.231711,-0.395562,-4.689814,-6.511453,1.165519
26,2008893732,-122.232986,-25.437666,-142.285187,-0.161645,0.297840,-0.140580,1.910253,-5.076899,3.773308
27,2008910399,-122.033676,-25.356194,-142.288193,-0.087802,0.393295,0.182291,12.045128,-4.959889,4.493719
28,2008927066,-121.672882,-25.277651,-142.243408,-0.045209,0.433493,0.242094,22.960773,-7.047285,2.988579
29,2008943733,-121.139168,-25.204464,-142.149643,-0.046004,0.449364,0.155128,34.586575,-9.125691,1.363953
30,2008960400,-120.426552,-25.131363,-142.039169,-0.146589,0.470736,-0.100919,45.741348,-9.894699,0.963839
31,2008977067,-119.627281,-25.036058,-141.918640,-0.252602,0.549566,-0.229953,51.190475,-11.028115,1.939457
32,2008993734,-118.800583,-24.924557,-141.788422,-0.280527,0.380308,-0.158994,53.070599,-11.939971,2.647414
33,2009010401,-117.984344,-24.819105,-141.626770,-0.333033,0.379180,-0.091378,53.222076,-13.241302,1.649725
34,2009027068,-117.242989,-24.729136,-141.417114,-0.407383,0.485157,-0.131351,49.926098,-15.115518,-0.245359
35,2009043735,-116.584557,-24.648993,-141.185074,-0.439308,0.400034,-0.252661,45.493790,-15.946945,-1.168909
36,2009060402,-115.955894,-24.561852,-140.960220,-0.493674,0.367630,-0.306355,43.512604,-15.807751,-0.474901
37,2009077069,-115.318909,-24.451094,-140.739441,-0.512919,0.378267,-0.551748,43.889763,-16.233082,1.044321
38,2009093736,-114.692856,-24.294529,-140.495804,-0.345676,0.266811,-0.538170,43.774120,-18.527666,3.153710
39,2009110403,-114.083908,-24.134853,-140.187820,-0.223035,0.290362,-0.237153,44.298649,-21.799871,2.033173
40,2009127070,-113.523994,-24.021862,-139.791519,-0.475175,0.503607,-0.439585,43.473263,-25.084097,-2.289706
41,2009143737,-113.003998,-23.942638,-139.372391,-0.684175,0.421025,-0.609277,41.604332,-25.472225,-4.437540
42,2009160404,-112.438332,-23.878057,-138.981750,-0.598254,0.283983,-0.479198,43.623032,-23.744719,-4.430626
43,2009177071,-111.755211,-23.829166,-138.618317,-0.456064,0.108660,-0.209884,49.991207,-22.066162,-4.510841
44,2009193738,-110.943642,-23.795607,-138.268661,-0.389167,0.062292,-0.195333,57.349083,-21.095909,-4.839788
45,2009210405,-110.025795,-23.766771,-137.931351,-0.415983,0.099265,-0.207127,63.417889,-20.436052,-4.587127
46,2009227072,-109.071678,-23.737053,-137.597626,-0.339546,0.153484,-0.274929,65.497940,-20.352610,-4.178115
47,2009243739,-108.158287,-23.706247,-137.246582,-0.234521,0.016702,-0.294473,63.465866,-21.347317,-4.130561
48,2009260406,-107.302650,-23.686523,-136.867538,-0.112576,-0.208698,-0.422094,60.665203,-22.679586,-4.941672
49,2009277073,-106.490494,-23.676710,-136.475388,-0.085597,-0.343064,-0.457801,58.367855,-23.275625,-5.425448
50,2009293740,-105.714394,-23.671425,-136.103317,-0.023997,-0.271542,-0.468647,55.715321,-22.213688,-5.091369
51,2009310407,-105.039993,-23.669161,-135.750549,-0.050767,-0.117227,-0.463941,49.146667,-21.210146,-4.735375
52,2009327074,-104.566681,-23.663754,-135.409439,-0.046652,-0.228821,-0.553010,36.801208,-20.685600,-4.202162
53,2009343741,-104.319794,-23.644278,-135.066284,-0.024541,-0.197225,-0.523834,23.258551,-21.038845,-3.298377
54,2009360408,-104.251236,-23.604498,-134.713654,0.079952,-0.272977,-0.391068,12.777046,-21.853701,-2.195910
55,2009377075,-104.265724,-23.561563,-134.358551,0.143096,-0.303927,-0.142321,7.838283,-22.042309,-2.038135
56,2009393742,-104.245773,-23.527414,-134.035721,0.114119,-0.300770,-0.017889,9.119679,-20.199862,-2.113781
57,2009410409,-104.140884,-23.492399,-133.776840,0.071000,-0.307839,-0.067204,12.673779,-16.810204,-1.181990
58,2009427076,-103.988472,-23.449385,-133.567017,0.061897,-0.330989,-0.173014,14.340653,-14.313445,-0.028930
59,2009443743,-103.881866,-23.405628,-133.387894,0.018125,-0.208392,-0.320827,10.850903,-12.686302,0.447806
60,2009460410,-103.894432,-23.366152,-133.213181,0.181587,-0.143474,-0.429187,3.587080,-12.394390,0.264547
61,2009477077,-104.049576,-23.336182,-133.011658,0.335754,-0.199335,-0.378600,-4.335516,-13.693853,-0.662204
62,2009493744,-104.270645,-23.313694,-132.785995,0.441034,-0.349866,-0.278426,-7.722888,-14.874370,-1.461154
63,2009510411,-104.433929,-23.292622,-132.565536,0.372263,-0.324534,-0.053118,-4.386409,-14.569002,-1.514134
64,2009527078,-104.483047,-23.272240,-132.376617,0.460090,-0.305120,0.100833,1.707382,-12.876203,-1.142903
65,2009543745,-104.442146,-23.257296,-132.217499,0.599383,-0.411021,0.028432,6.400727,-11.206038,-1.051799
66,2009560412,-104.335167,-23.246000,-132.093430,0.633283,-0.496335,-0.008133,9.528781,-9.282278,-0.773555
67,2009577079,-104.182404,-23.230112,-132.004181,0.667713,-0.550204,-0.091406,11.449683,-7.497251,-0.020016
68,2009593746,-104.030548,-23.194513,-131.948166,0.718151,-0.537866,-0.263775,10.602940,-6.006284,1.587239
69,2009610413,-103.927185,-23.133448,-131.927704,0.762464,-0.486146,-0.311688,6.847173,-4.472581,3.551304
70,2009627080,-103.878090,-23.068048,-131.942627,0.822152,-0.491709,-0.279163,2.757675,-2.638134,4.273690
71,2009643747,-103.861710,-23.014923,-131.988831,0.899517,-0.687346,-0.186197,0.056764,-0.781559,3.971691
72,2009660414,-103.823669,-22.975979,-132.061707,1.051663,-0.892903,-0.111320,0.733228,0.851072,3.496031
73,2009677081,-103.752487,-22.943499,-132.170837,1.191047,-0.980134,-0.056328,1.867589,2.892148,3.593475
74,2009693748,-103.710716,-22.917288,-132.326172,1.276124,-1.004288,-0.149017,-0.974768,5.463426,3.826634
75,2009710415,-103.733490,-22.880096,-132.543274,1.443210,-0.991327,-0.140147,-6.289675,8.620938,5.274624
76,2009727082,-103.735291,-22.832489,-132.822571,1.876985,-1.200421,0.050940,-6.475344,11.816024,6.698962
77,2009743749,-103.595650,-22.786093,-133.154755,2.162137,-1.498463,0.313091,0.784358,14.687084,7.302142
78,2009760416,-103.290474,-22.752966,-133.544174,2.059059,-1.777900,0.385484,9.394273,17.984314,7.195906
79,2009777083,-102.924591,-22.719019,-134.016953,1.955859,-1.846620,0.203008,11.111130,22.502150,8.167020
80,2009793750,-102.608704,-22.651457,-134.612564,1.757882,-1.998113,0.040525,5.284040,28.742559,11.488840
