sep=,
DeviceTag:,DOT1
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-03-17_10:12:50_576 GMT+1
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,621375430,28.562035,3.634587,94.722748,-0.239259,0.064465,-0.653569,-2.408682,-2.693880,-2.497417
2,621392097,28.480463,3.622125,94.662567,-0.129219,0.114015,-0.568340,-5.715539,-2.488645,-2.653886
3,621408764,28.400545,3.600950,94.596626,0.025318,0.206365,-0.620323,-5.596185,-3.108294,-2.713769
4,621425431,28.391565,3.557192,94.533691,0.111287,0.172281,-0.463180,-1.351019,-4.209205,-1.910631
5,621442098,28.492800,3.478648,94.468170,0.268481,0.152049,-0.319340,5.267727,-6.120643,-1.054667
6,621458765,28.729010,3.367396,94.401413,0.164544,0.222879,-0.378880,13.367066,-7.880521,-0.161309
7,621475432,29.048584,3.242940,94.343842,-0.269438,0.285206,-0.366014,18.331350,-8.308043,0.740945
8,621492099,29.299805,3.128368,94.300018,-0.573851,0.203018,-0.213152,14.176684,-7.383545,1.211065
9,621508766,29.385876,3.028986,94.262825,-0.583090,0.159777,-0.323094,4.238307,-6.388896,1.131140
10,621525433,29.344095,2.947739,94.240120,-0.431823,0.248232,-0.533620,-3.485107,-5.014557,1.353074
11,621542100,29.237694,2.886462,94.228256,-0.150654,0.161472,-0.557498,-7.397755,-3.650847,1.327154
12,621558767,29.130743,2.835384,94.209389,0.065411,0.127734,-0.764639,-7.411139,-3.321635,0.656178
13,621575434,29.071241,2.788366,94.198624,0.083967,0.097356,-0.745004,-4.587734,-2.872260,0.956730
14,621592101,29.026836,2.736729,94.181160,0.115350,0.100756,-0.705620,-3.661874,-3.309583,0.735974
15,621608768,28.992575,2.686353,94.146500,0.064375,0.195501,-0.804146,-3.003819,-3.743297,-0.205452
16,621625435,28.967144,2.645787,94.088264,0.122859,0.247061,-0.900734,-2.407825,-3.911392,-1.728716
17,621642102,28.968004,2.626793,94.006767,0.020601,0.293246,-0.966112,-0.766614,-3.451542,-3.576404
18,621658769,28.991196,2.628553,93.919853,-0.094551,0.190832,-0.932510,0.589534,-2.518292,-4.463769
19,621675436,29.006445,2.646193,93.837723,-0.146820,0.091079,-0.840262,0.100178,-1.546674,-4.674702
20,621692103,28.992807,2.666178,93.771156,-0.097434,0.129931,-0.791817,-1.674610,-0.971579,-3.929872
21,621708770,28.968933,2.690070,93.699074,-0.051156,0.199487,-0.869669,-2.271334,-0.922826,-4.330019
22,621725437,28.951496,2.725160,93.613594,-0.017128,0.199072,-0.765577,-1.844736,-0.720991,-5.360373
23,621742104,28.945997,2.775791,93.508690,0.050786,0.201269,-0.734920,-1.067717,-0.466190,-6.830307
24,621758771,28.959175,2.833218,93.395554,0.006857,0.286378,-0.627842,0.084708,-0.348525,-7.463389
25,621775438,28.997480,2.888771,93.281761,-0.079602,0.295706,-0.579251,1.601735,-0.466330,-7.441259
26,621792105,29.049137,2.939864,93.169586,-0.120690,0.263760,-0.446246,2.405244,-0.657849,-7.227162
27,621808772,29.100794,2.986779,93.060661,-0.181671,0.263276,-0.386667,2.400134,-0.787386,-6.935203
28,621825439,29.141788,3.037968,92.955406,-0.282773,0.364898,-0.416716,1.754541,-0.459313,-6.866907
29,621842106,29.153006,3.093447,92.858643,-0.350918,0.344157,-0.288970,-0.053966,0.012211,-6.549770
30,621858773,29.111336,3.152862,92.765579,-0.333782,0.238184,-0.253914,-3.235678,0.329719,-6.473213
31,621875440,29.041868,3.199112,92.684578,-0.307731,0.196174,-0.235585,-4.938949,-0.001550,-5.458169
32,621892107,28.979557,3.223074,92.617958,-0.215921,0.201161,-0.360026,-4.556525,-0.744997,-4.056078
33,621908774,28.960249,3.227562,92.561592,-0.065248,0.197861,-0.475871,-2.010713,-1.465482,-2.954656
34,621925441,28.993191,3.224588,92.512756,-0.018173,0.187901,-0.436908,1.100021,-1.637894,-2.343191
35,621942108,29.036634,3.225081,92.461342,-0.103646,0.224019,-0.441026,1.739480,-1.531294,-2.579340
36,621958775,29.052572,3.223357,92.411514,-0.164891,0.192541,-0.348049,0.084400,-1.601127,-2.431823
37,621975442,29.014477,3.215578,92.360069,-0.082509,0.061708,-0.385345,-3.153064,-1.964289,-2.340425
38,621992109,28.971119,3.199008,92.301773,-0.021073,0.122768,-0.636713,-3.446394,-2.622715,-2.445642
39,622008776,28.971775,3.178396,92.243546,0.002664,0.152931,-0.679378,-0.806198,-2.830921,-2.325812
40,622025443,28.998768,3.167276,92.184761,-0.025719,0.158986,-0.678802,0.776487,-2.348345,-2.630124
41,622042110,29.024021,3.168553,92.129944,-0.067887,0.196191,-0.588554,0.659277,-1.583147,-2.782461
42,622058777,29.015989,3.175033,92.074348,-0.063363,0.164399,-0.497409,-1.334716,-1.332411,-2.976542
43,622075444,28.986870,3.178862,92.008713,-0.040500,0.117821,-0.578487,-2.566623,-1.760976,-3.426032
44,622092111,28.971064,3.180901,91.933105,-0.017481,0.049405,-0.610639,-1.732917,-2.142490,-3.897485
45,622108778,28.971972,3.183007,91.854614,-0.083740,0.071148,-0.627830,-0.720063,-2.221928,-4.051225
46,622125445,28.980968,3.186258,91.778389,-0.137599,0.078204,-0.683611,-0.241016,-2.094939,-3.963194
47,622142112,28.987135,3.196528,91.711151,-0.093751,0.040982,-0.546425,-0.441371,-1.467877,-3.700652
48,622158779,28.968939,3.204424,91.645401,0.062017,0.059926,-0.328500,-1.906648,-1.546866,-3.550420
49,622175446,28.945396,3.197622,91.570778,0.121972,0.049203,-0.247584,-2.196846,-2.575389,-3.591061
50,622192113,28.950443,3.153011,91.487068,0.190513,0.088844,-0.205687,-0.451603,-4.822538,-2.969882
51,622208780,29.016331,3.074989,91.395020,0.309289,0.108142,-0.387630,3.222648,-6.820638,-2.433694
52,622225447,29.130280,2.996924,91.298561,0.076027,0.287692,-0.404160,6.115694,-6.954003,-2.651953
53,622242114,29.205418,2.948637,91.192543,-0.128578,0.312580,-0.350688,3.812522,-5.676620,-4.014203
54,622258781,29.188944,2.932880,91.078018,-0.254720,0.240007,-0.385305,-1.662649,-4.221294,-5.406945
