sep=,
DeviceTag:,DOT1
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-03-17_10:13:51_742 GMT+1
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,682593321,29.449089,-21.253815,140.265732,-1.613345,0.157653,0.492575,-1.454366,5.524116,-8.433278
2,682609988,29.352554,-21.133827,140.181747,-1.483671,0.253507,0.523389,-8.562483,3.925436,-7.508315
3,682626655,29.196630,-21.064386,140.117401,-1.565428,0.431430,0.286084,-11.695099,1.835849,-5.062327
4,682643322,29.058367,-21.054201,140.081268,-1.514325,0.548870,0.043692,-10.025851,-0.484464,-1.947245
5,682659989,28.967293,-21.107328,140.047531,-1.511622,0.511610,-0.094902,-7.145138,-3.733922,0.010264
6,682676656,28.915798,-21.202379,140.011719,-1.411202,0.550339,-0.187102,-4.818018,-5.987072,1.122522
7,682693323,28.865732,-21.320787,139.973343,-1.269827,0.527346,-0.302622,-4.794148,-7.282000,1.667291
8,682709990,28.808184,-21.458750,139.927567,-1.289663,0.577596,-0.523652,-5.408712,-8.505405,1.865943
9,682726657,28.764854,-21.613712,139.899384,-1.406501,0.605267,-0.694045,-4.176844,-8.925081,3.210623
10,682743324,28.730215,-21.773710,139.887238,-1.469058,0.672959,-0.748788,-3.305461,-8.758100,4.134768
11,682759991,28.694843,-21.912933,139.879959,-1.480518,0.691804,-0.790545,-3.241929,-7.533044,3.767143
12,682776658,28.670994,-22.019590,139.868835,-1.434018,0.726846,-0.927752,-2.638749,-5.919263,2.637039
13,682793325,28.679310,-22.095116,139.863831,-1.370885,0.652144,-0.946987,-0.572943,-4.114706,2.037401
