sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-04-28_16:04:38_329 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,645632522,-76.629829,-4.807892,-51.243744,-0.364345,-0.415906,0.044379,4.893941,-9.770774,-1.657321
2,645649189,-76.534813,-4.857560,-51.128662,-0.324804,-0.470152,0.054377,7.797245,-8.265592,-0.975716
3,645665856,-76.392769,-4.889897,-51.039532,-0.236466,-0.511043,-0.006737,10.494138,-6.516271,-0.312142
4,645682523,-76.252373,-4.903899,-50.984444,-0.217464,-0.545872,-0.139452,10.224754,-4.280639,0.290429
5,645699190,-76.132721,-4.900735,-50.969200,-0.276043,-0.540833,-0.044407,8.779403,-1.721597,0.730570
6,645715857,-76.006630,-4.887594,-50.987534,-0.262629,-0.526159,0.110595,8.995791,0.373055,0.830460
7,645732524,-75.844299,-4.871521,-51.023750,-0.252289,-0.519550,0.302183,11.083157,1.453637,0.739132
8,645749191,-75.603699,-4.857920,-51.047932,-0.151331,-0.446609,0.466606,15.841293,0.723348,0.764341
9,645765858,-75.275887,-4.851769,-51.042404,-0.199773,-0.420925,0.459611,21.226372,-1.102680,0.770284
10,645782525,-74.905289,-4.859299,-50.999142,-0.128719,-0.279648,0.335995,23.987156,-3.490800,0.558800
11,645799192,-74.535873,-4.885146,-50.920288,-0.040579,-0.102326,0.155547,24.100878,-5.832882,0.077165
12,645815859,-74.263191,-4.941407,-50.807564,0.093884,0.046444,-0.090973,18.473629,-8.272683,-1.110235
13,645832526,-74.165939,-5.029782,-50.667068,0.173851,0.144926,-0.195807,8.101745,-10.402490,-2.488442
14,645849193,-74.273460,-5.163064,-50.518066,0.100984,0.079221,-0.116955,-4.124210,-11.619617,-4.945738
