sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_17:27:27_161 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,445859871,-106.480721,-34.390839,146.474792,2.504461,0.814888,1.518867,77.843170,-38.484161,12.990479
2,445876538,-105.850021,-33.951191,147.233765,1.252287,0.233878,1.052708,64.880943,-44.569504,14.911405
3,445893205,-105.655869,-33.479500,148.072693,0.250938,-0.282337,0.192039,41.056973,-49.018921,15.930989
4,445909872,-106.028084,-33.025879,149.048340,0.064960,-0.178485,0.274732,11.236341,-55.558998,12.877904
5,445926539,-106.623543,-32.575253,150.053101,0.285237,0.439666,1.428593,-1.598661,-57.266785,11.760051
6,445943206,-107.173637,-32.104626,150.976822,0.371840,1.082707,1.979229,-1.881209,-54.049263,13.463276
7,445959873,-107.471840,-31.718719,151.736710,-0.448795,0.870278,1.287692,7.688729,-44.878048,10.637504
8,445976540,-107.554039,-31.408201,152.335068,-1.542945,-0.785721,0.545939,15.340151,-35.815212,8.621582
9,445993207,-107.493134,-31.138973,152.715317,-1.803790,-1.312408,0.144524,16.973150,-24.490892,9.596296
10,446009874,-107.210640,-30.930109,152.892487,-1.046803,-0.497752,-0.180340,23.897352,-13.464815,9.311813
11,446026541,-106.805115,-30.799452,152.972229,0.098544,0.865618,-0.193299,28.248392,-7.251350,6.365473
12,446043208,-106.248650,-30.728397,153.026794,0.884621,1.171239,-0.117293,36.526985,-4.942058,3.357131
13,446059875,-105.731720,-30.622242,153.147339,0.915480,0.994683,-0.286778,36.176708,-8.764080,4.477128
14,446076542,-105.460678,-30.443653,153.404602,0.629341,0.534488,-1.028946,25.583065,-16.717962,6.810496
15,446093209,-105.416473,-30.231701,153.717850,0.485237,0.752842,-0.848351,13.627185,-20.052383,8.003777
16,446109876,-105.579277,-29.957535,154.039261,0.275950,0.697716,-0.633537,1.387769,-21.505796,11.455591
17,446126543,-105.879608,-29.553480,154.393661,0.116864,0.125123,-0.836456,-5.978498,-25.372784,18.392437
18,446143210,-106.151367,-28.981272,154.761246,0.148511,-0.017907,-1.364465,-4.032230,-28.999054,27.752586
19,446159877,-106.255066,-28.313002,155.053818,0.282397,-0.652693,-1.527481,3.686352,-27.017443,34.263359
20,446176544,-106.303421,-27.567459,155.238251,0.517947,-1.019186,-1.339478,3.775654,-22.956797,40.255627
21,446193211,-106.275490,-26.853474,155.290100,0.763089,-0.550277,-1.265535,4.585901,-15.706990,40.397457
22,446209878,-106.245415,-26.200912,155.274597,1.050295,-0.410146,-0.337240,2.879632,-11.202581,37.870888
23,446226545,-106.219360,-25.628189,155.181183,1.098460,-0.061838,0.528395,0.604994,-5.803684,34.448490
24,446243212,-106.133316,-25.103701,155.008850,0.798572,0.160165,0.864584,2.227923,-0.836091,32.867104
25,446259879,-105.926727,-24.598633,154.731964,0.179944,-0.236789,1.480799,6.910162,5.075338,33.326241
26,446276546,-105.638687,-24.046263,154.373734,0.248412,-0.489845,1.371131,9.923996,8.791807,37.256840
27,446293213,-105.335411,-23.486591,153.989380,0.602157,-0.645612,1.376952,10.397081,10.329809,38.031898
28,446309880,-105.088074,-22.982779,153.620163,0.985984,-0.571320,1.491645,7.595476,10.662240,34.542126
29,446326547,-104.908295,-22.529331,153.282837,1.357396,0.001155,1.640677,4.451818,9.938106,31.138023
30,446343214,-104.696159,-22.174482,152.928925,1.341748,0.179627,1.678449,6.151030,12.498848,25.625025
31,446359881,-104.554367,-21.865326,152.610458,0.998862,0.009226,1.396637,2.845981,11.401986,22.438574
32,446376548,-104.426239,-21.642834,152.305267,0.759747,0.287918,0.768459,2.404607,12.067334,17.195810
33,446393215,-104.287338,-21.511105,152.013184,0.433489,0.472317,0.594274,3.397048,12.767477,11.709338
34,446409882,-104.159447,-21.435822,151.745972,0.194618,0.734725,0.416063,3.313486,12.292742,8.056090
35,446426549,-104.099213,-21.387156,151.503403,0.004322,1.074506,0.240747,-0.185487,11.364021,6.150784
36,446443216,-104.029305,-21.354456,151.274261,-0.087326,1.148351,0.079588,0.700540,10.883130,5.027821
37,446459883,-103.968689,-21.360195,151.090637,0.001754,0.859135,0.027057,1.142769,8.976620,2.164024
38,446476550,-103.923820,-21.389448,150.957108,0.116214,0.808887,0.013256,1.291911,6.605638,0.111460
