sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_18:26:51_663 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2476941378,68.610924,42.662422,-56.021019,-3.645874,3.028380,0.566670,37.347324,-22.462500,-15.521906
2,2476958045,68.691727,42.730690,-56.782101,-3.524169,3.260819,0.751274,37.195126,-30.847225,-16.163149
3,2476974712,68.538857,42.751549,-57.692089,-3.745008,3.241366,1.030810,29.269413,-37.966209,-15.886650
4,2476991379,68.093765,42.727646,-58.764709,-4.135890,3.046588,1.004196,18.362036,-45.540989,-16.204870
5,2477008046,67.419189,42.670555,-60.021469,-4.382029,2.942973,0.982343,12.066175,-53.683334,-17.849827
6,2477024713,66.571129,42.569530,-61.453556,-4.289537,2.988211,1.294723,8.715575,-61.663113,-19.144665
7,2477041380,65.597557,42.407387,-63.053467,-4.073029,3.181738,1.404737,7.856361,-69.755310,-19.789112
8,2477058047,64.467987,42.174915,-64.799988,-3.855036,3.218481,1.553553,4.182380,-77.261299,-20.032169
9,2477074714,63.075935,41.890621,-66.701645,-3.951429,3.277076,2.218299,-5.668167,-84.667282,-22.082788
10,2477091381,61.302818,41.558067,-68.787704,-4.164801,3.436302,2.956106,-21.605892,-93.043831,-25.838881
11,2477108048,59.094784,41.159332,-71.074394,-4.338481,3.785110,3.567200,-40.323807,-102.369324,-30.299065
12,2477124715,56.411053,40.656124,-73.516365,-3.952350,4.424134,4.162276,-63.552444,-110.886246,-33.399639
13,2477141382,53.251408,39.982784,-76.006248,-3.154933,5.221859,4.791082,-91.361053,-117.523735,-32.410069
14,2477158049,49.604897,39.128132,-78.406372,-2.728483,5.966641,5.319345,-125.504143,-119.951538,-28.945044
15,2477174716,45.497715,38.128071,-80.650940,-2.555606,7.002728,6.331892,-160.759384,-119.341522,-26.524557
16,2477191383,41.079288,36.959583,-82.633614,-2.676606,7.869243,5.766965,-190.993301,-116.970901,-20.360678
17,2477208050,36.745296,35.668171,-84.164497,-3.271259,8.064300,4.817552,-204.010483,-108.101112,-8.677897
18,2477224717,32.943825,34.279510,-85.017532,-4.286809,8.674435,3.758471,-197.102661,-93.722198,13.442893
19,2477241384,30.403116,32.762634,-84.925728,-7.086618,9.412644,1.521653,-153.821518,-76.481888,51.970276
20,2477258051,29.676174,30.966162,-83.598076,-7.547888,8.381058,-0.988544,-83.988617,-60.930191,112.825340
21,2477274718,30.476851,28.867392,-80.602264,-3.800587,3.268846,-3.845451,-39.934345,-32.414127,198.241394
22,2477291385,32.064079,26.541309,-75.865479,-0.194963,-3.812109,-5.887979,-35.293911,9.812402,287.806641
23,2477308052,33.764336,23.863266,-69.747444,4.187443,-11.004865,-7.614283,-52.789112,44.136642,366.368195
