sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_18:27:27_693 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,2512958765,81.359245,4.683324,-13.323561,0.389812,-0.344269,0.369181,-0.378543,-9.295286,3.898107
2,2512975432,81.310722,4.593603,-13.440504,0.323978,-0.438863,0.290177,-0.905524,-8.727581,4.084003
3,2512992099,81.254486,4.514484,-13.550813,0.313554,-0.353105,0.237636,-1.411158,-8.242528,3.507603
4,2513008766,81.201508,4.453446,-13.652169,0.274784,-0.281030,0.122225,-1.262604,-7.554403,2.509117
5,2513025433,81.166840,4.417189,-13.746804,0.208946,-0.255760,-0.042000,-0.201508,-6.932002,1.095321
6,2513042100,81.156830,4.409959,-13.827497,0.116657,-0.196522,-0.200319,1.212115,-5.840837,-0.500165
7,2513058767,81.183899,4.432946,-13.896300,0.068923,-0.011942,-0.338827,3.382420,-4.857052,-2.181997
8,2513075434,81.208092,4.481878,-13.942651,0.099806,0.120785,-0.350187,3.108031,-3.293486,-3.513242
9,2513092101,81.209755,4.549486,-13.958467,0.067809,0.141794,-0.358250,1.614004,-1.320373,-4.341444
10,2513108768,81.193512,4.628314,-13.943182,0.043191,0.175835,-0.357904,0.392572,0.623893,-4.721522
11,2513125435,81.150368,4.708057,-13.895363,0.128695,0.257293,-0.272279,-1.382753,2.556833,-4.476524
12,2513142102,81.092911,4.780464,-13.822690,0.146963,0.290364,-0.276087,-2.369559,3.960422,-3.809173
13,2513158769,81.012222,4.835316,-13.729840,0.207881,0.291536,-0.188521,-3.871527,4.993562,-2.575357
14,2513175436,80.902611,4.869427,-13.629140,0.196345,0.264119,-0.173018,-5.649663,5.263725,-1.263321
15,2513192103,80.789383,4.881197,-13.539938,0.122462,0.181368,-0.211189,-5.813097,4.377204,-0.036780
16,2513208770,80.708054,4.869483,-13.485249,0.058559,0.112775,-0.285686,-3.721897,2.114028,1.031058
17,2513225437,80.671028,4.830981,-13.476133,0.078948,0.128491,-0.310044,-0.831478,-0.836306,2.179404
18,2513242104,80.661629,4.776281,-13.506348,0.132681,0.159991,-0.365756,1.023163,-3.315141,2.757092
19,2513258771,80.674026,4.711829,-13.570203,0.165260,0.185860,-0.380296,2.496783,-5.398324,3.008000
20,2513275438,80.714767,4.656176,-13.657769,0.172461,0.126727,-0.346658,4.307551,-6.707417,2.259764
21,2513292105,80.786591,4.624281,-13.761377,0.183302,0.099951,-0.290604,6.246728,-7.424907,0.703831
22,2513308772,80.885704,4.618249,-13.868117,0.257642,0.198566,-0.235753,7.896430,-7.359811,-0.848549
23,2513325439,80.994484,4.639989,-13.960513,0.337333,0.281176,-0.188484,8.408019,-6.254471,-2.348673
24,2513342106,81.097527,4.692205,-14.024213,0.365825,0.313651,-0.188257,7.924912,-4.276042,-3.878161
25,2513358773,81.190300,4.774136,-14.059468,0.383988,0.309969,-0.097061,7.172704,-2.326338,-5.372585
26,2513375440,81.290047,4.885593,-14.068092,0.390731,0.214566,-0.021939,7.457094,-0.492187,-6.880009
27,2513392107,81.397179,5.024351,-14.053478,0.455212,0.078018,0.063828,7.780480,1.116708,-8.291551
28,2513408774,81.497765,5.192487,-14.016668,0.465812,-0.037236,0.088099,7.267665,2.675575,-9.842210
