sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_18:17:31_745 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,1916980179,-150.543365,6.347583,-24.704939,-0.116541,3.039197,3.724953,-48.605209,19.718616,-17.686222
2,1916996846,-150.400589,6.106776,-24.675508,0.014353,2.715141,4.218765,9.913245,10.636279,-8.780875
3,1917013513,-149.788528,6.113433,-24.706881,-0.837602,1.448452,2.942676,38.451973,-0.478525,1.686662
4,1917030180,-149.237213,6.315450,-24.726450,-0.870069,0.646183,2.715521,34.727512,-10.911229,7.020891
5,1917046847,-148.607986,6.742985,-24.700056,-1.004891,0.250383,3.172287,39.094872,-23.835072,11.757545
6,1917063514,-147.950943,7.412269,-24.620192,-1.208931,0.037306,2.861498,40.354111,-37.708694,16.929508
7,1917080181,-147.290115,8.257140,-24.496946,-1.052484,0.281249,2.100106,40.163021,-47.779964,20.815983
8,1917096848,-146.609619,9.249139,-24.379709,-0.774908,0.430804,1.822554,41.282078,-54.723629,26.484196
9,1917113515,-145.785416,10.381396,-24.315029,-0.344274,0.654410,1.887776,50.310287,-59.620605,34.464325
10,1917130182,-144.731461,11.671826,-24.328270,-0.042123,0.854794,2.148856,64.905243,-64.217262,44.612110
11,1917146849,-143.218048,13.096179,-24.413958,-0.088890,0.409316,2.154926,93.417854,-67.203041,54.170948
12,1917163516,-141.353897,14.556314,-24.479136,-0.155319,-0.314495,0.694147,114.289307,-68.022713,56.440758
13,1917180183,-139.385010,16.093185,-24.577896,0.276096,0.021111,1.048342,121.204811,-68.414574,63.066368
14,1917196850,-137.298355,17.723572,-24.732418,1.182380,0.158180,1.223334,129.396683,-68.234093,71.497581
15,1917213517,-134.795151,19.479254,-24.927229,1.628894,-0.116203,2.147099,155.415146,-69.199799,80.940994
16,1917230184,-131.640594,21.388166,-25.130827,1.440459,-0.834209,2.564163,195.025803,-71.148277,91.172737
17,1917246851,-127.784218,23.275866,-25.254259,0.296203,-1.617521,0.883508,235.678024,-68.169128,91.384346
18,1917263518,-123.522186,25.087433,-25.241783,-0.528975,-1.888250,-1.220119,256.899933,-64.989441,87.805923
19,1917280185,-119.276413,26.782730,-25.056198,-0.567388,-1.904207,-2.405154,251.370300,-62.626019,81.487869
20,1917296852,-115.420692,28.370424,-24.833754,-0.159098,-1.122646,-1.652748,226.668991,-55.359745,79.059059
21,1917313519,-111.899445,29.860447,-24.564255,-0.304300,-1.097755,-2.033926,204.916656,-49.909397,76.095345
22,1917330186,-108.922462,31.221231,-24.246838,-1.040613,-0.854227,-2.753235,170.459946,-44.935349,70.677902
23,1917346853,-106.685028,32.429897,-23.890484,-1.302580,-0.626488,-2.918054,124.495224,-40.562443,63.362839
24,1917363520,-105.151604,33.490673,-23.523623,-1.127390,-0.614052,-2.406636,81.562256,-36.310509,56.005112
25,1917380187,-104.137650,34.419655,-23.177111,-0.887585,-0.825652,-2.052494,50.760101,-31.873724,49.427677
26,1917396854,-103.485435,35.241032,-22.859266,-0.751456,-0.876010,-1.861396,29.782860,-28.065178,43.976944
27,1917413521,-103.091904,35.941566,-22.588196,-0.660091,-0.897417,-1.760191,15.687384,-23.640003,37.719349
28,1917430188,-102.912979,36.539841,-22.350414,-0.587042,-1.003961,-1.376178,3.848808,-20.394526,32.238739
29,1917446855,-102.808037,37.049789,-22.153629,-0.427733,-1.049569,-1.042669,0.775805,-17.138546,27.574970
30,1917463522,-102.699768,37.495262,-21.991102,-0.411891,-1.024143,-0.891608,2.144089,-14.585918,24.203533
31,1917480189,-102.548195,37.891239,-21.869165,-0.242775,-1.017526,-0.632993,6.177547,-11.962796,21.765316
32,1917496856,-102.216774,38.245361,-21.770922,-0.006784,-1.087590,-0.303904,17.811220,-10.212146,19.604342
33,1917513523,-101.626785,38.564690,-21.687586,0.097020,-1.014943,-0.111858,33.853565,-8.921503,17.785240
34,1917530190,-100.853226,38.878895,-21.628494,0.044364,-0.899454,-0.141837,45.761105,-7.520261,17.802050
35,1917546857,-99.997345,39.175636,-21.581470,-0.160665,-0.906005,-0.233012,51.142204,-6.512250,16.967354
36,1917563524,-99.126663,39.444275,-21.534374,-0.137466,-1.032179,-0.097939,52.020435,-5.971370,15.385988
37,1917580191,-98.197456,39.678215,-21.464279,0.061122,-0.956391,0.157617,54.646912,-6.461594,13.245291
38,1917596858,-97.178452,39.895889,-21.368855,-0.066712,-1.005200,0.184055,59.050182,-7.255236,12.215103
39,1917613525,-96.166115,40.099583,-21.230930,-0.214440,-1.114017,-0.052616,56.997593,-8.866481,11.265337
40,1917630192,-95.306343,40.269444,-21.096231,-0.078623,-1.010226,-0.163384,47.951542,-8.315593,9.388205
41,1917646859,-94.478119,40.480846,-20.948538,0.415979,-1.055666,0.638906,45.538315,-8.962955,11.930318
42,1917663526,-93.606033,40.665909,-20.797144,0.133876,-1.001302,0.039042,48.003407,-8.826214,10.461555
43,1917680193,-92.822357,40.853588,-20.644796,0.114015,-0.990330,0.189160,42.640743,-8.709237,10.730882
44,1917696860,-92.122879,41.042370,-20.489178,0.328480,-0.835556,0.046251,37.439617,-8.701643,10.890382
45,1917713527,-91.528740,41.256420,-20.337780,0.396645,-0.686676,-0.006649,31.264997,-8.414000,12.501681
46,1917730194,-90.980835,41.527142,-20.172424,0.467022,-0.954706,0.102643,27.908966,-8.969744,15.963375
47,1917746861,-90.419518,41.850407,-19.963018,0.755018,-1.349648,0.219568,26.918579,-10.793557,19.170076
48,1917763528,-89.692337,42.183529,-19.697788,0.771778,-1.618260,0.097812,34.577541,-13.020090,19.873968
49,1917780195,-88.749817,42.512596,-19.386017,0.771125,-1.592398,-0.027253,45.552254,-14.737778,19.835770
50,1917796862,-87.617828,42.833618,-19.029488,0.852505,-1.248588,-0.053063,55.025955,-16.298250,19.663387
51,1917813529,-86.301048,43.199841,-18.677507,1.070498,-0.562994,-0.155535,66.208008,-15.441421,22.682024
52,1917830196,-84.943520,43.686237,-18.355585,0.860038,-0.372072,-0.408300,69.774879,-12.946709,30.099052
53,1917846863,-83.651329,44.227859,-18.033722,0.608727,-0.179517,-0.342745,65.731339,-11.792307,33.654953
54,1917863530,-82.493782,44.811527,-17.693140,0.344520,0.442127,-0.338686,56.726971,-11.429791,36.463947
55,1917880197,-81.518791,45.449898,-17.303431,-0.074393,1.459671,-0.364025,43.526760,-12.198359,40.169415
56,1917896864,-80.751335,46.074730,-16.905876,-0.468180,2.732285,-0.527964,30.551334,-11.845470,39.548172
57,1917913531,-80.113327,46.628551,-16.515018,-0.507582,3.852632,-0.330976,22.894043,-11.612950,35.393108
58,1917930198,-79.510017,47.110924,-16.061855,-0.570629,4.252465,0.146159,17.923586,-14.336707,31.699348
59,1917946865,-78.838242,47.501221,-15.479782,-0.619972,4.559630,0.703601,16.192781,-20.008587,27.364212
60,1917963532,-77.857658,47.845436,-14.653082,-0.767638,4.724853,1.493716,23.701195,-29.672640,26.874578
61,1917980199,-76.459221,48.129284,-13.553275,-1.202935,5.021534,1.450602,36.398846,-40.392170,26.309505
62,1917996866,-74.659027,48.333874,-12.208217,-1.856810,5.079989,1.493052,49.324947,-50.097218,25.168346
63,1918013533,-72.459435,48.433601,-10.676284,-2.061741,4.838685,1.875364,64.743752,-57.938171,22.869957
64,1918030200,-69.885727,48.426060,-9.027248,-2.308077,4.334444,2.287942,81.870949,-63.354977,20.594044
65,1918046867,-67.011864,48.327381,-7.291735,-2.502080,3.797273,2.575928,96.047012,-67.566299,19.718086
66,1918063534,-63.919651,48.149250,-5.478472,-2.812034,3.613508,2.646920,105.819633,-71.410278,20.165331
67,1918080201,-60.723640,47.892025,-3.636841,-3.146468,3.312716,2.652006,111.044945,-73.668755,20.443604
