sep=,
DeviceTag:,DOT1
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-03-17_10:06:07_917 GMT+1
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,218750711,0.326296,-11.186085,142.561234,-0.032163,-0.072659,-0.340377,-13.966232,-8.248713,14.997511
2,218767378,0.031386,-11.321300,142.811142,-0.010234,-0.099620,-0.367721,-15.680957,-8.120266,15.057333
3,218784045,-0.299591,-11.455626,143.061478,0.066599,-0.188662,-0.452669,-17.799904,-8.148813,15.057502
4,218800712,-0.643410,-11.593732,143.291397,0.193079,-0.027436,-0.679881,-18.781450,-8.453478,13.791670
5,218817379,-0.939384,-11.740720,143.486588,0.233890,0.277971,-0.897612,-16.295017,-9.034753,11.703696
6,218834046,-1.137248,-11.885918,143.659729,0.203620,0.382777,-0.998337,-10.701880,-8.944603,10.091778
7,218850713,-1.267439,-12.021570,143.798126,0.060872,0.302362,-0.995288,-6.989723,-8.367623,8.325048
8,218867380,-1.401634,-12.141602,143.906189,-0.096096,0.089533,-0.877129,-7.649506,-7.396248,6.253556
9,218884047,-1.584216,-12.234914,143.987122,-0.118473,-0.039602,-0.872974,-10.884263,-5.768764,4.682446
10,218900714,-1.806284,-12.311073,144.045624,-0.040260,-0.108955,-0.903845,-13.532645,-4.716608,3.375852
11,218917381,-2.039675,-12.382451,144.084656,0.051657,-0.210391,-0.899206,-14.457354,-4.404517,2.225623
12,218934048,-2.235262,-12.449527,144.117081,0.089382,-0.041344,-0.863867,-12.272152,-4.140551,1.829856
13,218950715,-2.334424,-12.511457,144.144058,0.070667,0.047756,-0.866628,-6.554675,-3.823375,1.514242
14,218967382,-2.322694,-12.563888,144.167648,0.153373,0.028806,-0.929873,0.056508,-3.247101,1.335235
15,218984049,-2.225516,-12.594501,144.181519,-0.132026,-0.111928,-1.056684,5.058002,-1.915343,0.821956
16,219000716,-2.121845,-12.599730,144.193069,-0.312470,-0.090776,-1.011380,5.416759,-0.386483,0.745477
17,219017383,-2.048985,-12.585550,144.212296,-0.177339,0.019334,-0.805272,3.668603,0.762970,1.240289
18,219034050,-1.996303,-12.562592,144.220474,0.138893,0.169207,-0.417114,2.312769,1.313656,0.609038
19,219050717,-1.930370,-12.532511,144.218567,0.324665,0.229026,-0.342399,2.977098,1.761853,0.033636
20,219067384,-1.840018,-12.504912,144.218063,0.108968,0.054492,-0.423521,4.461636,1.610341,0.107708
21,219084051,-1.785167,-12.479338,144.235367,-0.132762,-0.044898,-0.443641,2.562941,1.456050,1.143754
22,219100718,-1.783430,-12.447967,144.273270,-0.155366,-0.016246,-0.547493,-0.357643,1.767116,2.360498
23,219117385,-1.784650,-12.425602,144.325241,0.063455,0.104519,-0.429226,-0.354236,1.201537,3.168489
24,219134052,-1.794534,-12.413746,144.389771,0.037303,0.016657,-0.288882,-0.712533,0.548567,3.884685
25,219150719,-1.823636,-12.419818,144.459320,0.059280,-0.082479,-0.209616,-1.801123,-0.536932,4.143591
26,219167386,-1.868187,-12.452038,144.519989,0.091909,-0.076892,-0.130711,-2.841268,-2.090547,3.572709
