sep=,
DeviceTag:,DOT5
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-01_12:38:03_138 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,84956023,-124.570328,-5.350105,162.809601,0.070246,0.547007,-0.628705,-29.832914,-37.125816,-5.444369
2,84972690,-125.178642,-5.097093,163.350784,-0.014345,0.519426,-0.510102,-33.293018,-37.878185,-5.836432
3,84989357,-125.832329,-4.858065,163.901016,-0.031863,0.480677,-0.372907,-36.106190,-37.775070,-7.229498
4,85006024,-126.436256,-4.624002,164.440857,-0.130830,0.277164,-0.030722,-33.307732,-37.018162,-7.492205
5,85022691,-126.923935,-4.417135,164.945374,-0.336850,0.224212,0.305225,-26.624521,-34.286163,-7.873014
6,85039358,-127.295723,-4.242450,165.412369,-0.437577,0.252254,0.343841,-19.941740,-31.272188,-8.296290
7,85056025,-127.566322,-4.081528,165.832352,-0.460010,0.297629,0.414845,-14.154798,-28.493519,-7.405620
8,85072692,-127.715485,-3.931198,166.209579,-0.506409,0.382764,0.501345,-7.117109,-26.054192,-6.441458
9,85089359,-127.723923,-3.799269,166.541412,-0.473060,0.457479,0.423162,1.059990,-22.879398,-5.403919
10,85106026,-127.648956,-3.665874,166.836975,-0.245630,0.567064,0.034877,5.903680,-21.566290,-4.280556
11,85122693,-127.533119,-3.521333,167.114304,-0.122052,0.543404,-0.147094,8.245531,-21.121218,-3.054256
12,85139360,-127.465828,-3.367033,167.416229,0.011196,0.635251,-0.574064,5.354197,-22.287659,-3.162687
13,85156027,-127.528099,-3.191173,167.731888,0.072430,0.767922,-0.782552,-2.398980,-24.096157,-2.933108
14,85172694,-127.684654,-3.003318,168.039154,-0.032083,0.828582,-0.512597,-8.161377,-23.785810,-1.817712
15,85189361,-127.880104,-2.812061,168.322281,-0.055451,0.899284,-0.243137,-10.608766,-23.107916,-1.118330
16,85206028,-128.089401,-2.618614,168.594910,-0.063977,1.031622,0.068626,-11.525138,-22.693541,-0.702007
17,85222695,-128.308578,-2.416731,168.894257,-0.012290,0.983204,0.072422,-12.101468,-24.261728,-1.370654
18,85239362,-128.511780,-2.185625,169.272980,-0.199903,1.064327,-0.107635,-11.018762,-29.076494,-3.034462
19,85256029,-128.672821,-1.977014,169.663589,0.296596,0.892003,-0.209776,-8.547689,-28.784477,-4.618945
20,85272696,-128.810730,-1.784244,170.065552,0.438425,1.004673,-0.444617,-7.219552,-28.708935,-5.856081
21,85289363,-128.906219,-1.617475,170.458221,0.403376,1.071299,-0.218351,-4.763028,-27.287657,-6.778395
22,85306030,-128.964691,-1.485891,170.802872,0.483696,1.123373,-0.161909,-2.682193,-23.707714,-6.641797
23,85322697,-129.038589,-1.364976,171.090439,0.668630,1.102290,-0.126099,-3.734505,-20.640528,-5.012209
24,85339364,-129.148636,-1.216741,171.359253,0.864631,0.985707,-0.114090,-5.973698,-20.486311,-2.798960
25,85356031,-129.310379,-1.024187,171.605759,0.977348,0.914535,-0.128944,-9.146837,-21.104750,0.081263
26,85372698,-129.503845,-0.784907,171.807770,1.197275,0.769751,-0.355364,-11.142073,-21.144699,3.603644
27,85389365,-129.693588,-0.497986,171.961487,1.285408,0.617905,-0.378512,-11.005454,-20.745291,7.587823
