sep=,
DeviceTag:,DOT5
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-01_12:04:20_776 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,282009195,-66.983681,13.664330,-133.655731,-0.021990,-0.169004,-0.047318,2.518043,-2.961584,0.710003
2,282025862,-66.934303,13.663779,-133.656845,-0.065783,-0.174332,-0.059774,3.236273,-2.581811,0.638211
3,282042529,-66.876503,13.656811,-133.666367,-0.047383,-0.159183,-0.131549,3.860980,-2.282168,0.092455
4,282059196,-66.829010,13.644930,-133.675262,-0.106141,-0.090717,-0.092237,3.232483,-2.429685,-0.165138
5,282075863,-66.788200,13.632426,-133.689423,-0.150447,-0.114771,-0.046115,2.905114,-2.163441,-0.322221
6,282092530,-66.749550,13.626416,-133.704895,-0.121015,-0.041230,-0.136920,2.796529,-1.938894,0.006025
7,282109197,-66.724739,13.609648,-133.719803,-0.203520,-0.038117,-0.088259,1.956471,-2.226256,-0.573929
8,282125864,-66.706726,13.582225,-133.725204,-0.289251,-0.120707,-0.068597,1.413520,-2.988464,-0.942586
9,282142531,-66.688950,13.558216,-133.718964,-0.192479,-0.017345,-0.155620,1.237446,-3.532030,-0.485271
10,282159198,-66.685898,13.534031,-133.696487,-0.208105,0.027618,-0.139532,0.126559,-4.405090,-0.120879
11,282175865,-66.695007,13.493312,-133.664276,-0.187887,-0.053939,-0.091403,-0.740732,-5.318132,-0.807901
12,282192532,-66.697395,13.452473,-133.632248,-0.164241,-0.106390,-0.050737,-0.331313,-5.313303,-0.817698
13,282209199,-66.683739,13.424160,-133.600601,-0.189914,-0.158078,0.082855,0.637289,-4.994105,-0.136733
14,282225866,-66.666519,13.410613,-133.578903,-0.151439,-0.136680,-0.001266,0.991218,-4.112016,0.447665
15,282242533,-66.667412,13.401582,-133.559525,-0.147536,-0.096706,-0.025198,-0.062380,-3.879671,0.642860
16,282259200,-66.682159,13.394876,-133.539810,-0.130822,-0.118763,0.010484,-0.899928,-3.842623,0.778530
17,282275867,-66.691505,13.391636,-133.521194,-0.056780,-0.194481,0.098560,-0.558383,-3.698961,0.942618
18,282292534,-66.684036,13.396855,-133.510086,-0.052516,-0.255307,0.026403,0.553855,-3.096473,1.235192
19,282309201,-66.660522,13.406285,-133.509079,-0.018208,-0.228594,0.033728,1.655752,-2.454350,1.234052
20,282325868,-66.609566,13.417150,-133.519089,-0.112197,-0.217809,0.068619,3.455224,-1.830527,1.056876
21,282342535,-66.500023,13.442586,-133.536850,-0.164142,-0.207008,0.078900,7.079869,-1.064477,1.677920
22,282359202,-66.382683,13.474923,-133.559036,-0.052507,-0.198308,0.049163,7.609195,-0.660526,1.951835
23,282375869,-66.296700,13.495136,-133.575806,0.012128,-0.194604,-0.035782,5.651578,-1.238413,1.407668
24,282392536,-66.247139,13.500706,-133.578445,-0.058261,-0.220336,0.058161,3.268564,-2.345022,0.932904
25,282409203,-66.222267,13.496413,-133.573929,-0.120987,-0.236009,0.043085,1.686090,-2.964798,0.559208
26,282425870,-66.197014,13.503522,-133.575241,-0.063118,-0.244808,0.113194,1.792153,-2.376987,1.047873
27,282442537,-66.160500,13.507853,-133.576599,-0.175203,-0.207302,0.099678,2.466945,-2.441454,0.894184
28,282459204,-66.106995,13.510530,-133.584122,-0.242687,-0.118068,0.032945,3.571364,-2.153977,0.659111
29,282475871,-66.034431,13.525920,-133.589005,-0.238542,-0.075782,0.011766,4.679294,-1.984190,1.417682
30,282492538,-65.975212,13.548787,-133.587616,-0.114740,-0.089548,-0.056710,3.790059,-2.136138,1.975783
31,282509205,-65.942368,13.571736,-133.579361,-0.111488,-0.054012,-0.034119,2.112721,-2.497981,2.142406
32,282525872,-65.911499,13.586101,-133.570190,-0.168007,-0.040679,-0.012873,1.979753,-2.755978,1.693416
33,282542539,-65.869339,13.597049,-133.555588,-0.226539,-0.007556,-0.035505,2.581882,-3.127093,1.635326
34,282559206,-65.810860,13.612898,-133.537689,-0.242593,0.017503,-0.052816,3.512711,-3.181763,1.983275
35,282575873,-65.738609,13.636260,-133.513229,-0.306630,0.020282,-0.021205,4.249192,-3.343354,2.551672
36,282592540,-65.670761,13.667998,-133.485825,-0.341350,0.019463,0.005927,3.941571,-3.289337,3.080587
37,282609207,-65.601006,13.711761,-133.446991,-0.511348,0.041054,0.192943,3.893329,-3.598072,4.015002
38,282625874,-65.479126,13.781161,-133.397385,-0.713463,0.030619,0.353930,6.865250,-3.527024,5.676486
39,282642541,-65.275230,13.892822,-133.343246,-0.768089,0.027488,0.291965,11.719797,-2.694189,8.095599
40,282659208,-65.018044,14.038267,-133.279633,-0.686717,-0.019289,0.128469,14.772121,-2.313790,10.168913
41,282675875,-64.775352,14.193729,-133.200500,-0.408693,-0.164684,-0.067801,13.666702,-2.833600,11.095107
42,282692542,-64.594070,14.342544,-133.114258,-0.097987,-0.332816,-0.227213,9.865808,-3.333662,10.911320
43,282709209,-64.494080,14.466213,-133.028198,0.083908,-0.402575,-0.257258,4.975468,-3.945843,9.544993
44,282725876,-64.464867,14.561719,-132.950439,0.142169,-0.398454,-0.309131,0.846058,-4.226570,7.812074
45,282742543,-64.471123,14.627709,-132.886139,0.087140,-0.345445,-0.188745,-1.086990,-4.280613,5.876866
46,282759210,-64.461510,14.661161,-132.837585,0.066948,-0.389653,-0.110268,0.100229,-4.294546,3.720201
47,282775877,-64.426689,14.671486,-132.803070,0.133087,-0.423260,-0.114074,1.824015,-4.156595,2.116935
48,282792544,-64.386620,14.668048,-132.784225,0.112811,-0.447119,0.036922,2.376058,-3.690701,0.979667
