sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_17:34:38_322 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,877035161,4.932375,-6.098007,85.430725,2.698100,-0.418611,0.771758,7.022573,44.792828,-1.760758
2,877051828,5.132885,-5.398168,85.501160,-1.005903,-1.446738,-0.973456,13.873587,41.283913,0.429291
3,877068495,4.902712,-4.741940,85.826385,-3.636456,-1.820269,0.942485,-10.668760,40.004688,15.842824
4,877085162,4.081572,-4.105298,86.217537,-1.497612,-0.077767,1.937443,-46.052254,38.989632,20.260927
5,877101829,3.405205,-3.540120,86.525627,1.830115,1.174244,0.816869,-37.949108,34.117958,16.113503
6,877118496,3.343297,-3.111678,86.719940,1.746633,1.229079,0.846128,-1.631418,25.426735,10.031387
7,877135163,3.282099,-2.803900,86.813240,0.467615,0.850590,2.017335,-1.969465,17.843105,4.441677
8,877151830,3.007513,-2.650472,86.862961,0.800439,0.583175,2.634088,-14.917671,8.442461,2.398382
9,877168497,2.685012,-2.716683,86.912598,1.638671,0.170294,2.958226,-17.791872,-4.730531,3.097597
10,877185164,2.586455,-3.020583,86.969711,1.951767,-0.187258,2.578789,-4.317501,-18.967344,4.184666
11,877201831,2.581636,-3.436100,87.019119,1.040246,0.604800,1.496449,1.309331,-25.682978,4.008711
12,877218498,2.144690,-3.901953,87.050423,0.324328,1.229417,2.590542,-24.660557,-28.759226,2.951898
13,877235165,1.460997,-4.477629,87.076859,-0.011867,1.301418,2.923731,-39.467445,-35.378342,2.597160
14,877251832,0.782230,-5.344420,87.150032,-0.108080,0.934315,4.211796,-38.910980,-52.811623,5.321664
15,877268499,0.653221,-6.693760,87.192612,3.084828,-0.105627,4.590785,-6.034276,-81.817673,3.486656
16,877285166,0.662554,-8.325663,87.134644,-0.484279,-0.578404,1.771916,1.554700,-98.843430,-2.393154
17,877301833,0.824672,-9.905702,87.283318,-0.154993,-0.494735,-0.641715,12.587465,-95.578239,9.967994
18,877318500,2.429431,-11.674848,87.702484,-0.997103,1.287953,0.778971,102.432831,-106.307732,27.640076
19,877335167,5.002690,-13.524084,88.265518,-0.728301,0.815236,-0.836248,163.192490,-109.488579,40.011963
20,877351834,7.735496,-15.382087,88.780045,0.686518,-0.028102,-0.055279,173.099869,-108.378548,41.993122
21,877368501,10.185010,-17.288254,89.056580,1.987962,-0.353831,2.070959,153.068954,-111.397438,33.448326
22,877385168,12.473885,-19.251701,89.106514,1.760088,-0.594756,1.516593,139.712524,-115.856949,25.831835
23,877401835,15.223745,-21.516567,89.071487,2.648991,-0.997803,1.231817,165.697876,-133.326828,30.506262
24,877418502,18.885729,-24.087160,89.090714,0.299573,0.274766,-0.997848,221.597427,-148.075409,46.137550
25,877435169,23.319494,-26.678305,89.146637,-0.335476,0.369415,-0.786547,268.885559,-144.900299,58.682781
26,877451836,28.851116,-29.340639,89.200172,0.131742,0.656667,-0.397114,334.811554,-143.196091,72.668495
27,877468503,35.283516,-32.008556,89.239883,-0.837348,0.108224,-0.003219,388.554718,-135.558746,86.607185
28,877485170,42.167332,-34.634987,89.312386,-0.860640,-0.699379,0.663380,416.809448,-121.674751,101.308876
29,877501837,48.940376,-37.210285,89.367302,-0.227739,-0.384076,0.786617,409.714844,-107.298332,112.070404
30,877518504,55.227421,-39.671406,89.413681,0.058909,-0.013309,-0.324854,380.346344,-90.036217,117.698875
31,877535171,60.848026,-42.010029,89.391312,0.137501,0.582464,-1.123270,337.771240,-76.145531,118.354568
32,877551838,65.917282,-44.246250,89.190628,0.951332,-0.275223,-0.784315,297.336731,-68.986252,115.843208
33,877568505,70.038857,-46.319809,88.793785,1.005882,-0.682428,-0.523874,231.811676,-63.193348,108.863533
34,877585172,73.398064,-48.197723,88.248322,0.661052,-0.231629,-1.170601,178.956787,-57.463371,99.818314
35,877601839,76.144943,-49.895344,87.576439,0.651572,-0.193282,-1.474642,135.817215,-53.280823,91.132523
36,877618506,78.373077,-51.426102,86.812881,0.901185,0.054357,-1.648745,99.707359,-49.620018,82.968643
37,877635173,80.379105,-52.798649,85.958466,1.119354,0.496510,-1.902398,81.359970,-47.169186,74.923027
38,877651840,82.508324,-53.979923,84.995590,1.073072,1.137064,-2.545672,82.837166,-45.666676,64.746063
39,877668507,84.804092,-54.981789,83.966118,1.013972,1.061334,-2.252789,88.928909,-43.366364,55.558956
40,877685174,87.040993,-55.783321,83.087730,-0.431506,0.734388,-1.607945,92.300789,-34.351154,45.617859
41,877701841,89.036156,-56.410416,82.415840,-0.827104,0.516721,-1.384992,87.711578,-24.830000,36.608292
42,877718508,90.603638,-56.883129,81.875450,0.261174,0.754362,-1.386792,68.425095,-18.983473,28.078968
43,877735175,91.841530,-57.153259,81.332268,1.424527,0.743008,-1.646074,48.393188,-18.464386,16.353552
44,877751842,92.832695,-57.199905,80.736038,1.393909,1.357545,-2.000238,30.871078,-20.338837,3.355056
45,877768509,93.738228,-57.063374,80.141769,0.892468,1.360443,-1.768867,25.851610,-20.870621,-7.307410
46,877785176,94.532143,-56.792889,79.647812,0.135104,0.695302,-1.240824,24.266676,-18.388302,-15.263309
47,877801843,95.321106,-56.454010,79.331963,-0.445294,0.429470,-0.573222,32.978874,-13.222197,-19.607439
48,877818510,96.029778,-56.136360,79.240074,-0.918739,0.211264,0.071528,39.398853,-6.019256,-18.910278
49,877835177,96.717461,-55.846352,79.360710,-0.883752,0.229667,0.258817,48.727119,1.006339,-17.988867
50,877851844,97.387939,-55.584763,79.639091,-0.083847,0.192290,0.355582,55.488701,6.321924,-16.977852
51,877868511,98.229828,-55.337929,79.967247,0.473448,0.556411,-0.374956,68.193840,7.956578,-16.436613
52,877885178,99.333023,-55.121876,80.201096,1.212743,0.343788,0.100417,79.184494,4.837421,-14.281289
53,877901845,100.500008,-54.872120,80.319252,1.060356,0.569157,-0.198107,77.290077,0.319634,-15.707946
54,877918512,101.729279,-54.617340,80.350098,0.629736,0.716356,0.121052,76.737221,-3.008712,-15.453858
55,877935179,103.049248,-54.395580,80.278961,0.385103,0.362349,0.460935,77.194450,-6.391223,-12.712972
56,877951846,104.391792,-54.219654,80.140320,0.031847,0.002427,0.986511,75.264755,-8.341742,-9.350646
