sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_17:51:59_049 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,384299526,95.566422,-57.757133,60.202183,0.166108,-0.296737,0.219067,90.598808,18.049128,1.465891
2,384316193,96.697990,-57.835712,60.745052,0.108974,-0.621346,0.285376,96.968124,16.744482,2.714699
3,384332860,97.765144,-57.877438,61.339622,0.023844,-0.708842,0.217175,95.750160,18.126400,-0.022796
4,384349527,98.717316,-57.919003,61.967522,0.043042,-0.960339,0.241982,90.558266,19.152813,-0.516419
5,384366194,99.498268,-57.980431,62.615246,0.040876,-0.741532,0.070757,81.312645,19.927052,0.262159
6,384382861,100.010590,-57.966198,63.333813,0.070034,-0.929418,0.179024,68.805870,21.369804,-4.823831
7,384399528,100.288002,-58.059937,64.019661,-0.061398,-0.641460,0.087878,53.065014,21.428619,1.587705
8,384416195,100.352432,-58.171097,64.702972,-0.177349,-0.557580,0.129801,40.198711,21.482262,2.575843
9,384432862,100.250862,-58.300762,65.363480,-0.247673,-0.305621,0.011342,29.119316,20.898756,3.820042
10,384449529,100.068710,-58.428108,66.004097,-0.125705,-0.197016,0.009501,23.315784,20.174582,3.862670
11,384466196,99.836761,-58.536983,66.660233,-0.145430,-0.098714,0.049468,21.161295,20.381733,2.775432
12,384482863,99.607338,-58.624130,67.363152,-0.101393,-0.085675,0.160851,23.743101,21.534754,1.339965
13,384499530,99.395561,-58.672680,68.127792,-0.042520,-0.135530,0.168983,27.992584,23.005909,-1.169532
14,384516197,99.202271,-58.683586,68.948540,-0.094050,-0.256199,0.145289,31.987432,24.353048,-3.590204
15,384532864,99.013992,-58.668373,69.787064,-0.043826,-0.477104,0.204058,33.201309,24.665247,-5.141896
16,384549531,98.823669,-58.646961,70.592598,0.030463,-0.524090,0.250639,31.374815,23.620104,-5.263298
17,384566198,98.547798,-58.632019,71.357529,0.099184,-0.668143,0.385263,24.158499,22.460613,-4.590493
18,384582865,98.157188,-58.642803,72.070450,0.216892,-0.577074,0.404240,14.607565,21.105637,-2.688636
19,384599532,97.636528,-58.681255,72.754227,0.275477,-0.481835,0.438803,5.324416,20.436266,-0.741860
20,384616199,96.977715,-58.741806,73.420998,0.221888,-0.411397,0.484494,-3.822624,20.053652,0.869085
21,384632866,96.254379,-58.820232,74.057220,0.240594,-0.320367,0.352265,-9.233367,19.179251,2.302272
22,384649533,95.587875,-58.902466,74.629898,0.296200,-0.150606,0.110407,-9.059262,17.164547,2.983979
23,384666200,95.048477,-58.982620,75.149063,0.124456,-0.094555,-0.045774,-4.159134,15.428404,3.208230
24,384682867,94.616814,-59.056747,75.635574,-0.016816,-0.235998,-0.037724,0.647855,14.328798,3.076030
25,384699534,94.240013,-59.118504,76.100784,-0.116093,-0.325487,-0.049549,2.862599,13.564796,2.496132
26,384716201,93.921303,-59.163967,76.527779,-0.025013,-0.356600,-0.040815,4.388859,12.282288,1.696644
27,384732868,93.593727,-59.197914,76.924652,0.097610,-0.363456,0.063454,2.315728,11.289860,1.144818
28,384749535,93.241180,-59.229282,77.295555,0.240402,-0.352848,0.106263,-0.515033,10.463643,1.113596
29,384766202,92.836304,-59.242111,77.666412,0.333868,-0.299540,0.163001,-3.650938,10.387445,0.079303
30,384782869,92.395088,-59.242683,78.047615,0.327783,-0.267127,0.262201,-5.296965,10.666344,-0.585814
31,384799536,91.866249,-59.217590,78.451981,0.333769,-0.235663,0.287361,-9.362051,11.326221,-2.051784
32,384816203,91.285675,-59.181644,78.868195,0.221257,-0.287629,0.310654,-11.861035,11.702294,-2.592674
33,384832870,90.677109,-59.136497,79.290367,0.155190,-0.203814,0.173420,-13.241960,11.915765,-3.015912
34,384849537,90.106834,-59.108990,79.674614,0.205811,-0.055566,-0.059560,-12.909032,10.796487,-1.813842
35,384866204,89.652939,-59.102299,80.015572,0.301891,0.099266,-0.205729,-8.153897,9.481500,-0.464858
36,384882871,89.358887,-59.119106,80.331490,0.386366,0.217896,-0.182282,0.145973,8.697965,1.007123
37,384899538,89.241287,-59.162743,80.625809,0.314396,0.203223,-0.063840,9.623253,8.000342,2.644045
38,384916205,89.280930,-59.214066,80.861298,0.168570,0.019963,0.085118,16.038082,6.172251,3.084982
39,384932872,89.445892,-59.251709,81.025200,-0.134870,-0.045006,0.179815,19.868830,3.979163,2.228033
40,384949539,89.613251,-59.272930,81.159988,-0.282105,-0.255749,0.250490,18.516846,3.098340,1.219723
41,384966206,89.691597,-59.282394,81.291283,-0.268458,-0.310444,0.228241,12.994129,2.995913,0.506805
42,384982873,89.671051,-59.285194,81.418022,-0.049309,-0.411706,0.217670,6.824461,2.859242,0.106338
43,384999540,89.595436,-59.279949,81.524010,0.207705,-0.361593,0.103045,2.452179,2.227197,-0.377813
44,385016207,89.507576,-59.264732,81.595734,0.251348,-0.478598,0.075072,-0.048984,1.182122,-0.979199
45,385032874,89.394371,-59.236935,81.657768,0.086935,-0.442618,0.034186,-2.067816,0.895042,-1.732840
46,385049541,89.240204,-59.211906,81.742134,-0.043476,-0.478799,0.011510,-3.380313,1.582257,-1.550568
47,385066208,89.047844,-59.194496,81.837120,-0.045470,-0.443573,0.012315,-5.126498,1.907538,-1.079242
48,385082875,88.876152,-59.175388,81.922203,0.056992,-0.280457,-0.005378,-4.394191,1.611506,-1.177262
49,385099542,88.792274,-59.159950,81.979469,0.207300,-0.200573,0.073176,-0.559087,0.755735,-0.967789
50,385116209,88.785408,-59.148994,82.009483,0.234564,-0.080352,0.173085,2.657683,-0.087967,-0.715580
