sep=,
DeviceTag:,DOT5
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-01_12:27:32_838 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,1674053702,56.842793,-71.574188,137.829132,3.195838,-1.160098,0.579391,31.927683,67.429955,-8.826490
2,1674070369,54.762936,-70.731445,140.490921,2.849663,-0.668677,-0.235646,26.535019,68.523460,-12.536457
3,1674087036,52.961212,-69.837837,142.873856,2.421985,-0.067832,-0.959555,26.682606,68.006264,-14.572359
4,1674103703,51.557507,-68.913605,144.916245,2.042503,0.447829,-1.312913,30.649952,65.506302,-17.144756
5,1674120370,50.481716,-67.912094,146.723907,1.384338,0.472324,-1.380176,36.493809,66.251137,-21.324903
6,1674137037,49.704983,-66.846657,148.315353,1.086624,0.189941,-0.784633,41.722073,66.614983,-25.190323
7,1674153704,49.060520,-65.731384,149.743668,0.836900,-0.329114,0.156075,39.981930,67.151176,-28.073929
8,1674170371,48.328369,-64.595558,151.107010,0.650624,-1.086366,0.965845,30.492252,68.224831,-28.228008
9,1674187038,47.449093,-63.520752,152.389893,0.527976,-1.409626,1.242421,16.645634,65.653183,-24.971571
10,1674203705,46.365894,-62.484962,153.644806,0.473283,-1.292796,0.851094,2.284396,64.849495,-21.743504
11,1674220372,45.192932,-61.430386,154.906052,0.333571,-1.251413,0.120361,-3.403551,67.054352,-20.242300
12,1674237039,43.921925,-60.295933,156.315842,0.114244,-1.275405,-0.702144,-2.188881,74.828644,-18.117647
13,1674253706,42.675568,-59.142471,157.748703,-0.307382,-0.621319,-1.502516,-0.356767,77.527412,-15.617724
14,1674270373,41.502094,-58.000278,159.118881,-0.944624,0.185508,-1.813547,-0.075021,77.023010,-13.828864
15,1674287040,40.317039,-56.887859,160.484711,-1.220890,0.746517,-2.164687,-1.849532,76.752800,-10.086635
16,1674303707,39.277412,-55.871155,161.803192,-1.251809,1.101446,-1.985960,3.678660,72.338783,-5.099979
17,1674320374,38.451847,-55.036324,162.957001,-1.742588,1.251229,-1.339933,7.666157,61.072350,-0.574283
18,1674337041,37.884182,-54.356014,163.791504,-2.423589,1.211988,-0.751367,6.981866,47.415028,-2.189212
19,1674353708,37.637951,-53.729797,164.294495,-3.136745,1.028672,-0.187097,9.830947,37.997868,-8.714232
20,1674370375,37.724487,-53.134644,164.543808,-3.467627,0.587946,0.281375,17.383818,31.157787,-14.494006
21,1674387042,37.967720,-52.601669,164.641541,-3.280279,-0.134862,0.422221,19.445881,24.875938,-16.544712
22,1674403709,38.164276,-52.248543,164.678360,-2.668397,-0.813033,0.162979,13.719295,14.969250,-11.725414
23,1674420376,38.220829,-52.175194,164.630615,-2.124564,-0.901675,-0.177629,1.303232,-0.165932,-3.822542
24,1674437043,38.179913,-52.375977,164.405457,-2.262020,-0.611127,-0.480875,-12.795906,-17.031498,1.335788
25,1674453710,38.129055,-52.771626,164.001801,-2.575616,-0.430129,-0.458251,-21.960541,-30.220371,3.458570
26,1674470377,38.146667,-53.345142,163.387711,-3.104009,0.016374,-0.413182,-28.218662,-43.269135,4.109385
27,1674487044,38.216721,-54.040661,162.636765,-3.517598,0.269357,-0.192388,-31.933693,-51.819046,5.098703
28,1674503711,38.326294,-54.806290,161.841370,-3.690347,0.484810,-0.390686,-32.068535,-55.781895,6.927089
29,1674520378,38.440170,-55.605438,161.029495,-3.042962,-0.274431,-0.368232,-33.001827,-57.363003,8.253015
30,1674537045,38.572842,-56.388294,160.067139,-2.597275,0.332936,-0.884096,-39.735725,-59.371746,4.243608
31,1674553712,38.861385,-57.159744,158.939865,-2.317397,0.934937,-1.093929,-39.095219,-61.803745,0.302165
32,1674570379,39.316498,-57.955208,157.684525,-2.076827,0.795082,-0.961279,-36.089447,-65.028015,-1.003397
33,1674587046,39.906792,-58.763538,156.404602,-1.346993,0.046262,-0.750073,-29.792852,-65.551338,0.150317
34,1674603713,40.654541,-59.632088,154.946091,-0.803877,-0.174675,-0.714407,-30.130875,-71.228256,-0.231505
35,1674620380,41.674389,-60.552006,153.308990,-1.055180,0.416770,-0.882034,-23.787436,-76.288322,-0.277814
