sep=,
DeviceTag:,DOT1
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-03-17_10:10:24_473 GMT+1
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,475305842,44.530670,66.973198,-158.103943,0.279156,-0.289660,-0.430811,2.386329,-0.095356,1.795610
2,475322509,44.598648,66.966423,-158.060181,0.248133,-0.299795,-0.385552,0.674555,0.384658,1.164808
3,475339176,44.655407,66.965027,-158.009247,0.223687,-0.294605,-0.429452,-0.362881,0.723104,1.048872
4,475355843,44.737576,66.964661,-157.938477,0.291698,-0.270394,-0.431278,0.039450,1.103914,1.342227
5,475372510,44.866817,66.965530,-157.832825,0.315313,-0.288463,-0.328007,0.987939,1.720654,1.853251
6,475389177,45.027660,66.966576,-157.699020,0.278651,-0.311398,-0.237643,1.276172,2.214723,2.325294
7,475405844,45.186832,66.971474,-157.548264,0.239685,-0.310634,-0.190380,0.297037,2.647373,2.416936
8,475422511,45.337299,66.975525,-157.380615,0.161060,-0.282560,-0.185616,-1.108530,2.882447,2.711315
9,475439178,45.477249,66.978394,-157.208191,0.184742,-0.191839,-0.207322,-2.090983,2.947401,2.853607
10,475455845,45.602051,66.977264,-157.052460,0.173299,-0.133576,-0.317806,-2.051193,2.494786,2.739822
11,475472512,45.754375,66.972450,-156.881409,0.217314,-0.150113,-0.396169,-1.163149,2.579282,3.117405
12,475489179,45.934273,66.967682,-156.697174,0.235027,-0.140923,-0.357066,-0.343722,2.844604,3.355386
13,475505846,46.099270,66.970795,-156.519775,0.166021,-0.085174,-0.267888,-0.836959,3.061403,2.887018
14,475522513,46.238155,66.982857,-156.355164,0.137977,-0.114732,-0.257894,-1.643426,3.204744,2.266628
15,475539180,46.366726,67.003868,-156.189529,0.158399,-0.147781,-0.263461,-2.354934,3.605839,1.897062
16,475555847,46.496067,67.026413,-156.020126,0.144203,-0.137140,-0.262648,-2.573641,3.752690,1.895180
17,475572514,46.637955,67.044876,-155.846741,0.136541,-0.135625,-0.322107,-2.034673,3.650969,2.125515
18,475589181,46.785732,67.062462,-155.663605,0.089532,-0.177782,-0.274496,-2.230751,3.785308,2.311309
19,475605848,46.932541,67.081718,-155.464554,0.072010,-0.197808,-0.206060,-3.136787,4.120680,2.466458
20,475622515,47.056454,67.109352,-155.263885,0.100807,-0.189013,-0.217528,-4.610965,4.493986,2.116640
21,475639182,47.154259,67.142891,-155.073502,0.121653,-0.173007,-0.265891,-5.624576,4.563999,1.683005
22,475655849,47.251175,67.182655,-154.878174,0.131397,-0.141869,-0.287088,-5.868216,4.872336,1.451581
23,475672516,47.371220,67.224106,-154.667206,0.145820,-0.138811,-0.291630,-5.377848,5.214971,1.616258
24,475689183,47.493347,67.263847,-154.461945,0.085129,-0.150472,-0.259646,-4.969274,5.052560,1.592450
25,475705850,47.597046,67.299301,-154.272858,0.018504,-0.134165,-0.230003,-5.133158,4.584796,1.500937
26,475722517,47.683918,67.330322,-154.093338,0.016509,-0.131801,-0.215931,-5.636472,4.245529,1.541776
27,475739184,47.761425,67.358978,-153.924896,0.034297,-0.097194,-0.174852,-5.601255,3.963713,1.468293
28,475755851,47.831753,67.385017,-153.771255,0.027093,-0.084074,-0.169038,-5.192847,3.596338,1.341574
29,475772518,47.899891,67.407043,-153.630127,-0.006024,-0.093210,-0.145860,-4.647899,3.224376,1.323389
30,475789185,47.963352,67.416763,-153.494278,-0.043233,-0.092618,-0.129022,-4.652637,2.645683,1.789131
31,475805852,48.017120,67.415657,-153.369095,-0.019539,-0.073352,-0.117025,-4.655147,2.033156,2.106113
32,475822519,48.054115,67.400452,-153.269867,0.010739,-0.017078,-0.147004,-4.240810,1.030597,2.338536
33,475839186,48.092243,67.376167,-153.187302,0.023250,-0.011612,-0.189504,-3.216212,0.373017,2.478355
