sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_17:35:28_156 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,926869491,137.453384,71.221306,92.993134,-0.104028,0.670514,-0.336296,-26.374269,5.934843,-5.322077
2,926886158,137.463028,71.187195,93.418610,0.118073,0.625399,-0.315844,-22.169729,6.019015,-4.801545
3,926902825,137.467010,71.150124,93.820084,0.272197,0.667162,-0.281624,-21.142242,5.843823,-4.353795
4,926919492,137.476715,71.110260,94.202774,0.318390,0.612397,-0.255163,-19.726803,5.731331,-3.985368
5,926936159,137.500595,71.065575,94.563393,0.415483,0.566051,-0.253859,-17.620243,5.665543,-3.489850
6,926952826,137.527573,71.016891,94.888039,0.488825,0.505302,-0.228597,-15.386881,5.376220,-2.826748
7,926969493,137.591370,70.971832,95.166138,0.444265,0.384530,-0.235031,-10.531281,4.612971,-2.319090
8,926986160,137.716400,70.930771,95.376083,0.472386,0.340571,-0.254665,-2.986658,3.541385,-1.514325
9,927002827,137.837677,70.893036,95.500763,0.486341,0.402350,-0.227886,1.623339,2.271379,-0.427604
10,927019494,138.000931,70.849823,95.582741,0.249900,0.414622,-0.311854,6.565350,1.955114,0.402100
11,927036161,138.149597,70.810593,95.564423,0.271082,0.291687,-0.289660,11.376866,0.460536,1.700549
12,927052828,138.281265,70.773270,95.456505,0.314314,0.229990,-0.368515,15.433106,-0.794776,2.942204
13,927069495,138.424545,70.745941,95.310600,0.286207,0.048303,-0.338498,18.280069,-1.741896,3.103668
14,927086162,138.554581,70.756065,95.087929,0.217722,-0.127686,-0.375498,21.830105,-4.422155,2.753517
15,927102829,138.712189,70.793396,94.855507,0.216095,-0.374470,-0.442596,24.036539,-5.762089,1.825312
16,927119496,138.967545,70.832123,94.693192,-0.081849,-0.252018,-0.562189,25.937269,-4.902270,0.740535
17,927136163,139.352295,70.882057,94.566765,-0.009615,0.335397,0.013680,31.669720,-4.941783,-0.216723
18,927152830,139.837128,71.005821,94.635201,-0.163612,0.244412,-0.099594,26.624647,-5.831605,-5.973858
19,927169497,140.377136,71.138344,94.801048,-0.128832,0.560979,-0.411114,24.407391,-5.079997,-7.715831
20,927186164,140.954361,71.238625,94.992867,-0.191362,0.925447,-0.333533,25.152199,-3.350188,-6.823611
21,927202831,141.525269,71.314545,95.199966,-0.402368,0.887109,-0.390488,23.909052,-2.110414,-6.103161
22,927219498,142.071838,71.363213,95.338661,-0.504098,0.658602,-0.380094,26.322756,-1.699394,-4.039799
23,927236165,142.641968,71.390045,95.397614,-0.548208,0.321802,-0.408257,32.269222,-1.642446,-2.019953
24,927252832,143.179214,71.406319,95.286835,-0.580376,-0.135447,-0.409780,39.948845,-3.118991,0.960347
25,927269499,143.683975,71.418709,94.964394,-0.521127,-0.430097,-0.396938,50.040443,-5.331716,4.371071
26,927286166,144.037918,71.411522,94.314255,0.080227,-0.185915,-0.319251,59.623646,-8.043698,10.158546
27,927302833,144.286774,71.388390,93.474129,0.428172,-0.037836,-0.150809,64.118774,-9.349061,13.710939
28,927319500,144.408813,71.374710,92.529449,0.381285,-0.271141,-0.290050,62.450928,-10.947454,15.045310
29,927336167,144.357208,71.351753,91.470055,0.533148,-0.074092,-0.292364,58.550507,-11.770591,17.180035
30,927352834,144.149536,71.315826,90.305084,0.860591,0.142695,-0.258869,55.174908,-12.379492,19.280916
31,927369501,143.771988,71.284073,89.051796,0.926183,0.153274,-0.332022,49.991444,-13.706799,20.479464
32,927386168,143.314850,71.238884,87.756592,0.812890,0.069820,-0.393186,47.577587,-13.714423,21.551586
