sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_18:18:32_569 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,1977781395,-34.384998,-65.198189,-48.422058,0.057719,-0.254389,0.225199,-1.571841,-5.920218,-20.091209
2,1977798062,-33.990459,-65.451180,-48.958271,-0.041461,-0.280770,0.234739,-4.091200,-6.055095,-19.920628
3,1977814729,-33.647144,-65.699509,-49.478405,-0.128395,-0.285159,0.263571,-6.343801,-6.240288,-19.293371
4,1977831396,-33.353405,-65.940811,-49.976776,-0.214317,-0.282725,0.279118,-8.182475,-6.354955,-18.485264
5,1977848063,-33.111298,-66.174576,-50.446465,-0.286826,-0.259836,0.266017,-9.754972,-6.505533,-17.533894
6,1977864730,-32.927372,-66.403305,-50.873116,-0.342921,-0.304751,0.265273,-10.930785,-6.934520,-16.391626
7,1977881397,-32.805256,-66.630257,-51.244457,-0.353624,-0.333777,0.226273,-11.633214,-7.656991,-15.131951
8,1977898064,-32.721500,-66.864006,-51.577091,-0.374541,-0.283036,0.157393,-11.835952,-8.564630,-14.500816
9,1977914731,-32.680939,-67.107071,-51.855671,-0.469355,-0.255891,0.091113,-11.475069,-9.772808,-13.664855
10,1977931398,-32.658939,-67.357925,-52.095028,-0.558561,-0.237234,0.082390,-10.445565,-10.702346,-13.093627
11,1977948065,-32.651676,-67.609131,-52.319504,-0.572012,-0.180353,0.087054,-10.527617,-10.937469,-12.766387
12,1977964732,-32.654270,-67.869362,-52.539642,-0.619880,-0.172035,0.029327,-10.902713,-11.473377,-12.930204
13,1977981399,-32.674213,-68.138969,-52.752644,-0.624824,-0.158571,-0.059522,-11.569864,-12.061167,-13.056991
14,1977998066,-32.663475,-68.418388,-52.979832,-0.745858,-0.137104,-0.104876,-10.541742,-12.414303,-13.595637
15,1978014733,-32.591640,-68.705551,-53.228355,-0.891426,-0.154868,-0.083407,-8.092485,-12.596190,-14.182414
16,1978031400,-32.436241,-68.996780,-53.499107,-0.953208,-0.131633,-0.051905,-4.345790,-12.610342,-14.641675
17,1978048067,-32.230453,-69.289391,-53.773674,-1.052630,0.000395,-0.050484,-1.570662,-12.719217,-14.657398
18,1978064734,-31.978209,-69.573349,-54.054630,-1.147377,0.087052,-0.001582,0.835686,-12.310336,-14.387236
19,1978081401,-31.717497,-69.838936,-54.337414,-1.192930,0.150744,0.022150,1.209030,-11.455753,-13.728589
20,1978098068,-31.462181,-70.088455,-54.612492,-1.279820,0.209046,0.021466,1.293756,-10.817126,-12.986050
21,1978114735,-31.228765,-70.321404,-54.848389,-1.636753,0.464598,0.091703,2.172785,-10.472799,-11.696305
22,1978131402,-31.000139,-70.540657,-55.004101,-2.095267,0.835127,0.246905,6.400152,-10.680570,-9.818446
23,1978148069,-30.755949,-70.726082,-55.041687,-2.500792,1.252368,0.401043,14.007058,-10.201192,-6.700047
24,1978164736,-30.522026,-70.830399,-54.989178,-2.587644,1.971744,0.817942,18.498932,-6.964513,-2.659255
25,1978181403,-30.486004,-70.839600,-54.766685,-3.024491,2.534315,1.270693,16.261883,-3.763534,3.123657
26,1978198070,-30.655434,-70.717407,-54.297009,-4.286843,3.001803,1.914997,17.933228,0.514451,11.332005
27,1978214737,-30.889610,-70.359489,-53.610901,-5.201366,3.558955,2.326709,26.256218,10.332446,22.366873
28,1978231404,-31.039682,-69.713020,-52.888039,-5.079806,4.049592,2.585644,33.258816,24.510496,32.226704
29,1978248071,-31.134472,-68.756210,-52.200855,-5.202459,4.190507,3.261865,34.369102,40.456356,41.712948
30,1978264738,-31.126760,-67.479881,-51.539898,-5.736284,3.981841,3.839930,38.767811,56.719860,51.775188
31,1978281405,-30.930679,-65.881378,-50.908844,-5.527113,3.536555,4.478998,48.051250,73.234352,61.793255
32,1978298072,-30.693983,-63.956268,-50.201286,-5.127324,3.125118,5.305402,54.174461,88.728012,74.114120
33,1978314739,-30.478971,-61.723675,-49.365002,-4.764331,2.587489,5.874736,59.075577,102.375320,87.358711
34,1978331406,-30.217611,-59.234077,-48.431225,-4.109908,2.004529,6.572157,65.975838,113.639633,98.764572
35,1978348073,-29.937878,-56.488117,-47.458885,-3.099380,1.392089,7.381113,67.732986,125.673172,108.891205
36,1978364740,-29.702843,-53.486500,-46.470612,-2.269022,0.589424,7.999748,64.225174,137.963409,118.538483
37,1978381407,-29.441637,-50.257282,-45.484192,-1.445792,-0.382202,8.235659,63.791706,149.094681,126.871147
38,1978398074,-29.133154,-46.843964,-44.480564,-0.367627,-1.190512,8.269487,65.213600,157.723190,134.428116
39,1978414741,-28.811890,-43.273518,-43.496952,0.860889,-1.797649,8.129797,62.624912,165.818954,139.729691
40,1978431408,-28.553995,-39.544395,-42.567394,1.933439,-2.337302,7.992895,53.944904,174.809540,143.597824
41,1978448075,-28.408615,-35.681728,-41.700619,2.646241,-2.709487,7.760187,42.047939,182.668365,146.260284
42,1978464742,-28.303619,-31.715605,-40.887714,3.216364,-3.298995,7.366047,34.947506,188.756195,148.284973
43,1978481409,-28.149443,-27.678751,-40.116253,3.771356,-3.796532,6.993906,33.772705,193.020798,149.561172
44,1978498076,-27.883308,-23.600641,-39.363964,4.136359,-4.279461,6.553568,37.086269,195.548920,150.461807
45,1978514743,-27.420107,-19.497667,-38.621029,4.564010,-4.813851,6.119467,45.750313,197.491425,150.607315
46,1978531410,-26.787521,-15.356381,-37.876350,5.185026,-4.957026,5.563939,52.921318,200.465073,150.816696
47,1978548077,-25.987026,-11.156787,-37.141499,5.525890,-5.411743,4.716802,59.721981,205.373962,150.125259
48,1978564744,-25.016331,-6.883991,-36.429974,6.212201,-5.741243,3.736867,66.515160,211.994125,148.157242
49,1978581411,-24.007816,-2.536517,-35.717377,6.909127,-5.722889,2.555677,65.604759,218.448837,146.755234
50,1978598078,-22.946011,1.839620,-34.975021,7.107459,-6.000980,1.575075,65.562141,221.915863,145.249146
51,1978614745,-21.758467,6.242318,-34.209709,7.336628,-6.147033,0.416820,69.597534,225.759460,142.654083
52,1978631412,-20.530228,10.680081,-33.414761,7.799138,-5.966359,-0.771326,68.258553,230.227570,139.912415
53,1978648079,-19.274075,15.115414,-32.545380,7.601481,-5.877160,-1.814345,65.307732,231.864075,138.299057
54,1978664746,-17.869968,19.538208,-31.610010,7.105229,-5.834544,-3.157595,69.110359,233.474258,135.233963
55,1978681413,-16.333797,23.939232,-30.609774,6.874941,-5.313878,-4.267856,71.519257,235.021072,130.891800
