sep=,
DeviceTag:,DOT5
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-01_12:18:27_387 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,1128609460,56.841286,-61.325211,166.089508,0.213019,-0.292934,-0.191771,-1.947642,-7.422831,-7.234117
2,1128626127,57.008671,-61.288540,165.758148,0.242318,-0.216407,-0.211713,-7.166848,-9.297006,-6.805606
3,1128642794,57.168316,-61.276741,165.405685,0.135800,-0.185693,-0.220572,-8.737970,-10.645375,-5.865901
4,1128659461,57.327827,-61.291702,165.083008,0.001213,-0.179580,-0.167759,-7.179808,-10.809130,-4.027292
5,1128676128,57.463188,-61.332844,164.810104,0.062423,-0.136028,-0.054595,-6.017503,-10.453959,-1.901693
6,1128692795,57.537010,-61.396107,164.604446,0.122030,-0.092405,0.111531,-6.171229,-9.525918,0.275522
7,1128709462,57.542404,-61.475124,164.481827,0.142903,-0.065803,0.282920,-5.910325,-8.012718,2.364123
8,1128726129,57.501076,-61.565098,164.455704,0.060798,-0.100877,0.436930,-3.630512,-6.030422,4.405648
9,1128742796,57.398014,-61.667641,164.513138,0.094674,-0.283925,0.599931,-2.922410,-4.429449,6.320992
10,1128759463,57.193726,-61.775604,164.616714,0.197091,-0.301243,0.728408,-6.557661,-3.523323,7.295825
11,1128776130,56.892998,-61.871120,164.793472,0.093057,-0.142952,0.797640,-8.469279,-1.417369,7.790138
12,1128792797,56.538925,-61.932693,165.058456,0.071224,-0.073856,0.870260,-6.992218,1.731195,7.454496
13,1128809464,56.187378,-61.934143,165.410797,-0.047490,-0.027344,0.852645,-2.211939,5.731771,5.839664
14,1128826131,55.901440,-61.861542,165.821701,-0.150845,0.005750,0.769269,4.819178,9.565341,3.130302
15,1128842798,55.704498,-61.715378,166.235199,-0.244896,-0.036207,0.618382,10.271450,12.128283,-0.403528
16,1128859465,55.597752,-61.500942,166.619049,-0.331868,-0.008824,0.419776,14.083208,13.800918,-4.186568
17,1128876132,55.562950,-61.233547,166.949905,-0.374425,0.020373,0.197403,15.559403,14.414886,-7.600121
18,1128892799,55.592251,-60.930923,167.192276,-0.396562,0.017578,-0.010681,14.713619,13.566476,-10.748055
19,1128909466,55.692379,-60.612068,167.329712,-0.472554,0.038432,-0.296028,13.431546,11.622532,-13.266709
20,1128926133,55.923031,-60.285183,167.376160,-0.548019,0.089338,-0.482161,16.490417,9.662699,-15.196621
21,1128942800,56.299892,-59.973618,167.357330,-0.523305,-0.002651,-0.525590,21.854671,7.459053,-15.579414
22,1128959467,56.745979,-59.717232,167.306122,-0.399016,-0.143254,-0.453752,24.334259,4.702812,-13.431107
23,1128976134,57.155121,-59.544449,167.226364,-0.189756,-0.206631,-0.428473,20.644773,1.131001,-9.758903
24,1128992801,57.502495,-59.466900,167.120544,-0.081113,-0.186591,-0.483480,15.597651,-2.693408,-5.406385
25,1129009468,57.800743,-59.479221,167.039124,-0.051747,-0.192949,-0.554257,13.909466,-4.985579,-0.452986
26,1129026135,58.040291,-59.569576,167.016876,0.069062,-0.181526,-0.508959,13.445288,-5.947465,4.485742
27,1129042802,58.220047,-59.723789,167.071182,0.097170,-0.155154,-0.457501,13.820724,-5.979970,8.978382
28,1129059469,58.345978,-59.922302,167.237198,0.064644,-0.050691,-0.258396,16.388563,-4.496547,13.016683
29,1129076136,58.444897,-60.148457,167.532730,-0.049022,-0.065561,0.029873,21.520342,-2.061098,16.449383
30,1129092803,58.526028,-60.386482,167.952072,-0.072111,-0.130196,0.427649,26.941124,0.679885,18.948915
31,1129109470,58.567642,-60.620541,168.475891,-0.029734,-0.196493,0.833129,30.075550,3.379848,20.306578
32,1129126137,58.572678,-60.840141,169.086060,-0.050761,-0.231672,1.212392,32.462696,5.909297,20.828428
33,1129142804,58.597485,-61.023392,169.757950,-0.216427,-0.265117,1.509954,36.945011,8.489979,19.845198
34,1129159471,58.691685,-61.149750,170.471985,-0.271283,-0.352784,1.807342,43.376637,11.250977,17.504559
35,1129176138,58.882141,-61.205688,171.168716,-0.144393,-0.468274,1.902999,48.273445,13.004913,13.566360
36,1129192805,59.187531,-61.183067,171.794678,-0.049729,-0.511623,1.740209,51.458557,13.725788,8.399047
37,1129209472,59.610374,-61.084324,172.324783,0.009891,-0.482699,1.363267,53.443230,13.740854,2.971905
38,1129226139,60.091663,-60.922077,172.743439,0.192984,-0.382907,0.883414,51.068226,12.928348,-2.047794
39,1129242806,60.567699,-60.714523,173.030533,0.324417,-0.213461,0.453726,43.823170,10.972490,-6.408638
40,1129259473,61.021839,-60.475021,173.185684,0.328267,-0.049479,0.054951,35.577312,8.509715,-10.056851
41,1129276140,61.439449,-60.221642,173.238998,0.407072,0.103323,-0.288901,28.055115,6.211351,-12.306484
42,1129292807,61.854740,-59.972591,173.223221,0.324329,0.142681,-0.630666,24.318663,4.188065,-13.117860
43,1129309474,62.296768,-59.744457,173.176254,0.290830,0.122956,-0.814476,24.305239,2.664182,-12.497492
44,1129326141,62.727283,-59.563259,173.114426,0.390967,0.005883,-0.855329,22.846621,0.857726,-10.248469
45,1129342808,63.090744,-59.453316,173.021942,0.504280,-0.076060,-0.881443,17.248066,-1.999278,-6.895420
46,1129359475,63.362667,-59.432434,172.891449,0.537050,-0.057335,-0.904808,9.794538,-5.487562,-2.651402
47,1129376142,63.566200,-59.514378,172.717407,0.474822,-0.077002,-0.921272,3.440011,-9.441049,2.291511
