sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_17:54:01_783 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,507001980,32.065140,76.772369,67.460266,0.137988,-0.236532,-0.202753,-8.923992,1.559474,-2.125048
2,507018647,31.893131,76.818977,67.440895,0.074560,-0.224511,-0.267105,-7.690521,1.215726,-1.700453
3,507035314,31.720106,76.864548,67.417969,0.131537,-0.314257,-0.247046,-7.539049,1.143799,-1.704346
4,507051981,31.549377,76.903450,67.378082,0.109427,-0.286298,-0.322423,-6.410244,0.688796,-1.684061
5,507068648,31.405460,76.946098,67.356560,0.100601,-0.233914,-0.339454,-5.876258,1.014321,-1.580560
6,507085315,31.295595,76.982704,67.352814,0.204444,-0.248588,-0.314154,-4.870435,0.832534,-1.181130
7,507101982,31.248686,77.016518,67.341019,0.281301,-0.252790,-0.373947,-0.621082,0.638621,-1.187533
8,507118649,31.236692,77.060242,67.296654,0.298903,-0.199260,-0.371099,3.373405,0.917684,-1.865066
9,507135316,31.224234,77.104591,67.219620,0.253612,-0.086067,-0.323904,5.258857,0.723078,-2.255403
10,507151983,31.264317,77.140862,67.160728,0.330512,-0.132325,-0.314656,7.347561,0.440737,-1.796974
11,507168650,31.339233,77.163689,67.106201,0.374190,0.007688,-0.213916,9.186152,-0.221908,-1.325317
12,507185317,31.420734,77.165161,67.057655,0.326246,0.006117,-0.184504,9.230454,-1.267304,-0.596097
13,507201984,31.478317,77.155922,66.991241,0.260145,-0.070602,-0.165110,8.838798,-1.946182,-0.457187
14,507218651,31.495132,77.140556,66.896469,0.126170,-0.014481,-0.198361,8.052704,-2.454363,-0.592076
15,507235318,31.470066,77.119179,66.790092,0.057129,-0.097402,-0.276652,6.216799,-2.842511,-0.537713
16,507251985,31.449493,77.098579,66.669342,0.058852,-0.183160,-0.260797,7.323229,-2.907682,-0.724865
17,507268652,31.430225,77.074554,66.525429,0.046343,-0.190914,-0.329416,8.760283,-3.241941,-0.890080
18,507285319,31.400278,77.055161,66.343597,0.070766,-0.246643,-0.335019,10.333057,-3.275520,-1.471130
19,507301986,31.396881,77.040688,66.181206,0.099052,-0.172818,-0.408838,10.790058,-2.886680,-1.405920
20,507318653,31.401205,77.042824,66.038223,0.057386,-0.187210,-0.411455,10.119780,-1.899605,-1.702797
21,507335320,31.409225,77.055122,65.913139,0.111926,-0.162028,-0.436518,9.296165,-1.251603,-1.817350
22,507351987,31.377657,77.079384,65.774483,-0.004532,-0.076771,-0.399489,7.714424,-0.734060,-2.343844
23,507368654,31.296225,77.124245,65.616653,-0.123372,-0.048070,-0.277904,5.840484,0.192358,-3.200269
24,507385321,31.180590,77.181992,65.458282,-0.156359,-0.067077,-0.254406,3.825597,0.856828,-3.597945
25,507401988,31.029144,77.255440,65.280670,-0.108942,-0.019357,-0.263069,2.806365,1.547859,-4.293983
26,507418655,30.784964,77.337654,65.064529,0.005618,0.059468,-0.239346,-0.502572,1.759356,-4.978713
27,507435322,30.486593,77.439713,64.821571,0.082804,-0.017916,-0.312790,-2.179308,2.637487,-5.856062
28,507451989,30.210009,77.543091,64.625351,0.057785,-0.025626,-0.283731,-3.602183,3.055269,-5.335075
29,507468656,29.915176,77.645233,64.457474,-0.003359,-0.068333,-0.296947,-6.355319,3.212967,-4.943675
30,507485323,29.653742,77.734734,64.341866,-0.007559,-0.180693,-0.326499,-7.409129,2.916794,-3.952207
31,507501990,29.415121,77.812752,64.234116,-0.025517,-0.247059,-0.305925,-6.498429,2.388007,-3.500706
32,507518657,29.259903,77.878967,64.188255,-0.034033,-0.239607,-0.305032,-5.128456,2.168288,-2.452006
33,507535324,29.166763,77.942085,64.181084,0.114630,-0.187167,-0.317498,-3.667201,2.249416,-1.928214
34,507551991,29.127789,77.997650,64.205574,0.231888,-0.031276,-0.279899,-2.276764,2.051737,-1.359279
35,507568658,29.131813,78.039642,64.260651,0.278582,0.008758,-0.235323,-1.492824,1.523411,-0.628036
36,507585325,29.177820,78.065697,64.343445,0.240855,-0.017176,-0.219373,-0.601098,0.858307,0.132815
37,507601992,29.269455,78.063507,64.478218,0.205658,-0.027914,-0.242110,-0.916691,-0.303331,1.518647
38,507618659,29.347261,78.051613,64.601906,0.189081,-0.155737,-0.296116,-1.096160,-0.882652,1.689113
39,507635326,29.443317,78.025887,64.708008,0.161457,-0.278380,-0.304918,1.032506,-1.706510,1.905681
40,507651993,29.564816,77.996300,64.797783,0.110064,-0.269367,-0.358721,3.513557,-2.003477,1.848552
41,507668660,29.698055,77.965401,64.863594,0.136878,-0.263963,-0.310606,5.631228,-2.212413,1.629179
42,507685327,29.815180,77.943634,64.886589,0.134047,-0.296408,-0.334110,7.175150,-2.001185,0.898551
43,507701994,29.920986,77.940498,64.867470,0.100989,-0.382712,-0.324550,8.968822,-1.289446,-0.115308
44,507718661,30.077858,77.939255,64.875107,0.052770,-0.300672,-0.304715,10.459085,-1.024035,0.119182
45,507735328,30.271338,77.939880,64.922844,0.037453,-0.286020,-0.377694,10.301462,-0.678340,0.501554
46,507751995,30.528225,77.943161,65.024643,0.040264,-0.387523,-0.415884,10.938723,-0.192800,1.000810
47,507768662,30.928648,77.926239,65.210548,0.050864,-0.330529,-0.368026,14.613863,-0.689110,2.522673
48,507785329,31.474628,77.896317,65.488319,0.012318,-0.260822,-0.439949,17.957104,-0.738966,3.919292
49,507801996,32.151936,77.863342,65.832947,0.130370,-0.203475,-0.510133,21.920597,-0.402287,4.733894
50,507818663,32.958931,77.832504,66.223412,0.475776,-0.049665,-0.591123,27.017056,0.087436,5.153219
51,507835330,33.782318,77.800232,66.487503,0.787388,0.045755,-0.799241,35.415104,-0.783240,3.858795
52,507851997,34.575390,77.774712,66.637329,0.673152,0.622981,-0.732159,40.294376,-1.199936,2.436352
53,507868664,35.554577,77.684937,66.986855,0.084862,1.613751,-0.194022,39.754745,-2.845780,6.744010
