sep=,
DeviceTag:,DOT10
FirmwareVersion:,3.0.0
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Custom modes - custom mode1
StartTime: ,2026-06-02_17:29:19_793 GMT+2
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
1,558512124,-107.626732,41.104736,118.063728,0.055804,-0.038420,0.099145,5.488476,-6.128122,5.988218
2,558528791,-107.555130,41.239830,118.133873,0.262932,-0.225979,-0.043948,2.971388,-6.477773,6.806403
3,558545458,-107.564980,41.375080,118.211166,0.409651,-0.243427,-0.127793,-2.207431,-6.781592,6.719730
4,558562125,-107.651535,41.509972,118.275467,0.559317,-0.245385,-0.307438,-6.304146,-6.216115,6.870923
5,558578792,-107.753639,41.635509,118.336555,0.607589,-0.240986,-0.422755,-7.112625,-5.916203,6.370695
6,558595459,-107.834785,41.781818,118.413857,0.548148,-0.318022,-0.482285,-6.505692,-6.991246,7.328917
7,558612126,-107.891388,41.971867,118.507812,0.488403,-0.473094,-0.275253,-5.713236,-8.509620,9.590009
8,558628793,-107.881233,42.209599,118.608475,0.161557,-0.532811,0.016531,-1.992772,-9.662579,12.218735
9,558645460,-107.929817,42.500546,118.669235,0.288405,-0.536406,-0.165915,-3.923384,-8.946745,15.802485
10,558662127,-108.025452,42.806667,118.738716,0.460768,-0.452801,-0.487849,-7.117959,-9.599333,16.540504
11,558678794,-108.098557,43.119900,118.807808,0.651935,-0.268909,-0.710281,-5.764441,-9.727488,16.942371
12,558695461,-108.065147,43.440224,118.911133,0.716917,-0.119735,-0.570328,-0.798720,-11.271665,16.881180
13,558712128,-107.954147,43.776222,119.025749,0.581784,0.089591,-0.291743,3.365329,-11.987671,17.641409
14,558728795,-107.763115,44.111027,119.152458,0.287144,0.113325,0.199124,7.634795,-12.391920,17.448612
15,558745462,-107.594231,44.405762,119.228874,0.339335,-0.047749,0.321685,8.383042,-9.520804,15.857874
16,558762129,-107.469856,44.611462,119.259872,0.476452,-0.194604,0.157979,7.606919,-6.005106,11.374410
17,558778796,-107.365112,44.724236,119.248466,0.646950,-0.281706,-0.061873,8.213067,-2.585718,6.604167
18,558795463,-107.208672,44.752262,119.219467,0.701991,-0.184437,-0.108783,12.059896,-0.346245,1.972557
19,558812130,-106.953445,44.744427,119.173225,0.479558,-0.131669,0.069855,18.715101,0.993819,0.124689
20,558828797,-106.596588,44.781704,119.102516,0.446586,-0.083937,0.221085,25.847431,1.210376,3.006163
21,558845464,-106.173347,44.889969,118.991119,0.311060,0.145896,0.596020,31.559736,1.685111,7.562056
22,558862131,-105.732590,45.061726,118.804398,0.186731,0.278335,0.689930,35.813606,3.757549,12.078529
23,558878798,-105.378319,45.231339,118.538170,0.149004,0.151630,0.335069,34.032902,7.091837,12.816981
24,558895465,-105.097710,45.354763,118.288712,0.152781,0.095110,-0.012429,28.926781,7.180679,9.904727
25,558912132,-104.911751,45.443298,118.068932,0.367978,-0.130970,-0.734406,21.997272,6.535240,7.518168
